"commonnamegroupid","name","galenicformid","name_noaccent","publicName"
"2","ácido salicílico * 0,1 % + triamcinolona acetónido * 0,02 % ; uso cutáneo ; loción","266","ACIDO SALICILICO * 0,1 % + TRIAMCINOLONA ACETONIDO * 0,02 % ; USO CUTANEO ; LOCION","ACIDO SALICILICO 0,1 % + TRIAMCINOLONA ACETONIDO 0,02 % loción"
"29","rimexolona * 1 % ; vía oftálmica ; colirio en suspensión","571","RIMEXOLONA * 1 % ; VIA OFTALMICA ; COLIRIO EN SUSPENSION","RIMEXOLONA 1 % colirio en suspensión"
"30","metformina clorhidrato * 850 mg ; vía oral ; comprimido","59","METFORMINA CLORHIDRATO * 850 MG ; VIA ORAL ; COMPRIMIDO","METFORMINA CLORHIDRATO 850 mg comprimido"
"31","acetazolamida * 500 mg ; vía parenteral ; polvo y disolvente para solución inyectable","369","ACETAZOLAMIDA * 500 MG ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","ACETAZOLAMIDA 500 mg polvo y disolvente para solución inyectable"
"32","ácido acetilsalicílico * 320 mg ; vía oral ; comprimido","59","ACIDO ACETILSALICILICO * 320 MG ; VIA ORAL ; COMPRIMIDO","ACIDO ACETILSALICILICO 320 mg comprimido"
"33","triamcinolona acetónido * 40 mg/ml ; vía parenteral ; suspensión inyectable","567","TRIAMCINOLONA ACETONIDO * 40 MG/ML ; VIA PARENTERAL ; SUSPENSION INYECTABLE","TRIAMCINOLONA ACETONIDO 40 mg/ml suspensión inyectable"
"34","ácido nicotínico  * 375 mg ; vía oral ; comprimido de liberación prolongada","72","ACIDO NICOTINICO  * 375 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","ACIDO NICOTINICO  375 mg comprimido de liberación prolongada"
"35","cefalotina (sódica) * 1 g ; vía parenteral ; polvo y disolvente para solución inyectable","369","CEFALOTINA (SODICA) * 1 G ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","CEFALOTINA (sódica) 1 g polvo y disolvente para solución inyectable"
"37","adenosina * 6 mg/2 ml ; vía parenteral ; solución inyectable","476","ADENOSINA * 6 MG/2 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","ADENOSINA 6 mg/2 ml solución inyectable"
"38","clomipramina clorhidrato * 25 mg/2 ml ; vía parenteral ; solución inyectable","476","CLOMIPRAMINA CLORHIDRATO * 25 MG/2 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","CLOMIPRAMINA CLORHIDRATO 25 mg/2 ml solución inyectable"
"39","cobalto (gluconato) * 72,6 µg/2 ml + manganeso (gluconato) * 72,8 µg/2 ml ; vía oral ; solución oral","461","COBALTO (GLUCONATO) * 72,6 µG/2 ML + MANGANESO (GLUCONATO) * 72,8 µG/2 ML ; VIA ORAL ; SOLUCION ORAL","COBALTO (gluconato) 72,6 µg/2 ml + MANGANESO (gluconato) 72,8 µg/2 ml solución oral"
"40","ciclopirox olamina * 1 % ; uso cutáneo ; polvo cutáneo","384","CICLOPIROX OLAMINA * 1 % ; USO CUTANEO ; POLVO CUTANEO","CICLOPIROX OLAMINA 1 % polvo cutáneo"
"41","morfina sulfato * 30 mg ; vía oral ; cápsula dura","219","MORFINA SULFATO * 30 MG ; VIA ORAL ; CAPSULA DURA","MORFINA SULFATO 30 mg cápsula dura"
"42","mesalazina * 250 mg ; vía oral ; comprimido gastrorresistente","106","MESALAZINA * 250 MG ; VIA ORAL ; COMPRIMIDO GASTRORRESISTENTE","MESALAZINA 250 mg comprimido gastrorresistente"
"43","metoclopramida clorhidrato * 20 mg/ml ; vía parenteral ; solución inyectable","476","METOCLOPRAMIDA CLORHIDRATO * 20 MG/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","METOCLOPRAMIDA CLORHIDRATO 20 mg/ml solución inyectable"
"44","tioconazol * 1 % ; uso cutáneo ; crema","146","TIOCONAZOL * 1 % ; USO CUTANEO ; CREMA","TIOCONAZOL 1 % crema"
"45","teofilina * 200 mg ; vía oral ; cápsula dura de liberación prolongada","225","TEOFILINA * 200 MG ; VIA ORAL ; CAPSULA DURA DE LIBERACION PROLONGADA","TEOFILINA 200 mg cápsula dura de liberación prolongada"
"46","ribavirina * 200 mg ; vía oral ; cápsula dura","219","RIBAVIRINA * 200 MG ; VIA ORAL ; CAPSULA DURA","RIBAVIRINA 200 mg cápsula dura"
"47","fluticasona propionato * 500 µg/dosis ; vía inhalatoria ; polvo para inhalación","394","FLUTICASONA PROPIONATO * 500 µG/DOSIS ; VIA INHALATORIA ; POLVO PARA INHALACION","FLUTICASONA PROPIONATO 500 µg/dosis polvo para inhalación"
"48","flurbiprofeno sódico * 0,03 % ; vía oftálmica ; colirio en solución","53","FLURBIPROFENO SODICO * 0,03 % ; VIA OFTALMICA ; COLIRIO EN SOLUCION","FLURBIPROFENO SODICO 0,03 % colirio en solución"
"49","econazol nitrato * 1 % + triamcinolona acetónido * 0,1 % ; uso cutáneo ; crema","146","ECONAZOL NITRATO * 1 % + TRIAMCINOLONA ACETONIDO * 0,1 % ; USO CUTANEO ; CREMA","ECONAZOL NITRATO 1 % + TRIAMCINOLONA ACETONIDO 0,1 % crema"
"50","olopatadina (hidrocloruro) * 1 mg/ml ; vía oftálmica ; colirio en solución","53","OLOPATADINA (HIDROCLORURO) * 1 MG/ML ; VIA OFTALMICA ; COLIRIO EN SOLUCION","OLOPATADINA (hidrocloruro) 1 mg/ml colirio en solución"
"51","medroxiprogesterona acetato * 10 mg ; vía oral ; comprimido","59","MEDROXIPROGESTERONA ACETATO * 10 MG ; VIA ORAL ; COMPRIMIDO","MEDROXIPROGESTERONA ACETATO 10 mg comprimido"
"52","leflunomida * 20 mg ; vía oral ; comprimido","59","LEFLUNOMIDA * 20 MG ; VIA ORAL ; COMPRIMIDO","LEFLUNOMIDA 20 mg comprimido"
"53","vancomicina (hidrocloruro) * 1.000 mg ; vía parenteral ; polvo para concentrado para solución para perfusión","1219","VANCOMICINA (HIDROCLORURO) * 1.000 MG ; VIA PARENTERAL ; POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION","VANCOMICINA (hidrocloruro) 1.000 mg polvo para concentrado para solución para perfusión"
"55","oxicodona clorhidrato * 10 mg/ml ; vía parenteral ; solución inyectable","476","OXICODONA CLORHIDRATO * 10 MG/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","OXICODONA CLORHIDRATO 10 mg/ml solución inyectable"
"56","dactinomicina * 0,5 mg ; vía parenteral ; polvo para solución inyectable","411","DACTINOMICINA * 0,5 MG ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","DACTINOMICINA 0,5 mg polvo para solución inyectable"
"57","alteplasa * 10 mg ; vía parenteral ; polvo y disolvente para solución inyectable","369","ALTEPLASA * 10 MG ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","ALTEPLASA 10 mg polvo y disolvente para solución inyectable"
"58","lincomicina (hidrocloruro) * 500 mg ; vía oral ; cápsula dura","219","LINCOMICINA (HIDROCLORURO) * 500 MG ; VIA ORAL ; CAPSULA DURA","LINCOMICINA (hidrocloruro) 500 mg cápsula dura"
"59","fumagilina * 20 mg ; vía oral ; cápsula dura","219","FUMAGILINA * 20 MG ; VIA ORAL ; CAPSULA DURA","FUMAGILINA 20 mg cápsula dura"
"60","galantamina (bromhidrato) * 8 mg ; vía oral ; comprimido","59","GALANTAMINA (BROMHIDRATO) * 8 MG ; VIA ORAL ; COMPRIMIDO","GALANTAMINA (bromhidrato) 8 mg comprimido"
"62","midazolam (hidrocloruro) * 1 mg/ml ; vía parenteral + vía rectal ; solución inyectable y rectal","1985","MIDAZOLAM (HIDROCLORURO) * 1 MG/ML ; VIA PARENTERAL + VIA RECTAL ; SOLUCION INYECTABLE Y RECTAL","MIDAZOLAM (hidrocloruro) 1 mg/ml solución inyectable y rectal"
"63","magnesio cloruro * 10 % ; vía parenteral ; solución inyectable","476","MAGNESIO CLORURO * 10 % ; VIA PARENTERAL ; SOLUCION INYECTABLE","MAGNESIO CLORURO 10 % solución inyectable"
"64","terbutalina sulfato * 5 mg ; vía oral ; comprimido de liberación prolongada","72","TERBUTALINA SULFATO * 5 MG ; VIA ORAL ; COMPRIMIDO DE LIBERACION PROLONGADA","TERBUTALINA SULFATO 5 mg comprimido de liberación prolongada"
"65","somatorelina (acetato) * 50 µg ; vía parenteral ; polvo y disolvente para solución inyectable","369","SOMATORELINA (ACETATO) * 50 µG ; VIA PARENTERAL ; POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","SOMATORELINA (acetato) 50 µg polvo y disolvente para solución inyectable"
"66","rivastigmina (hidrogenotartrato) * 2 mg/ml ; vía oral ; solución oral","461","RIVASTIGMINA (HIDROGENOTARTRATO) * 2 MG/ML ; VIA ORAL ; SOLUCION ORAL","RIVASTIGMINA (hidrogenotartrato) 2 mg/ml solución oral"
"67","baclofeno * 10 mg ; vía oral ; comprimido","59","BACLOFENO * 10 MG ; VIA ORAL ; COMPRIMIDO","BACLOFENO 10 mg comprimido"
"69","didanosina * 2 g ; vía oral ; polvo para solución oral","408","DIDANOSINA * 2 G ; VIA ORAL ; POLVO PARA SOLUCION ORAL","DIDANOSINA 2 g polvo para solución oral"
"70","cidofovir * 75 mg/ml ; vía parenteral ; concentrado para solución para perfusión","453","CIDOFOVIR * 75 MG/ML ; VIA PARENTERAL ; CONCENTRADO PARA SOLUCION PARA PERFUSION","CIDOFOVIR 75 mg/ml concentrado para solución para perfusión"
"71","cefamandol (nafato) * 750 mg ; vía parenteral ; polvo para solución inyectable","411","CEFAMANDOL (NAFATO) * 750 MG ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","CEFAMANDOL (nafato) 750 mg polvo para solución inyectable"
"72","oxetorona fumarato * 60 mg ; vía oral ; comprimido","59","OXETORONA FUMARATO * 60 MG ; VIA ORAL ; COMPRIMIDO","OXETORONA FUMARATO 60 mg comprimido"
"74","fluorometolona * 0,1 % ; vía oftálmica ; colirio en suspensión","571","FLUOROMETOLONA * 0,1 % ; VIA OFTALMICA ; COLIRIO EN SUSPENSION","FLUOROMETOLONA 0,1 % colirio en suspensión"
"75","ácido acetilsalicílico (sódico) * 250 mg ; vía oral ; polvo oral en sobre","1823","ACIDO ACETILSALICILICO (SODICO) * 250 MG ; VIA ORAL ; POLVO ORAL EN SOBRE","ACIDO ACETILSALICILICO (sódico) 250 mg polvo oral en sobre"
"76","quinina y urea diclorhidrato * 250 mg/5 ml ; vía parenteral ; solución inyectable","476","QUININA Y UREA DICLORHIDRATO * 250 MG/5 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","QUININA Y UREA DICLORHIDRATO 250 mg/5 ml solución inyectable"
"77","pioglitazona (hidrocloruro) * 15 mg ; vía oral ; comprimido","59","PIOGLITAZONA (HIDROCLORURO) * 15 MG ; VIA ORAL ; COMPRIMIDO","PIOGLITAZONA (hidrocloruro) 15 mg comprimido"
"78","amlodipino (besilato) * 5 mg + valsartán * 160 mg ; vía oral ; comprimido","59","AMLODIPINO (BESILATO) * 5 MG + VALSARTAN * 160 MG ; VIA ORAL ; COMPRIMIDO","AMLODIPINO (besilato) 5 mg + VALSARTAN 160 mg comprimido"
"79","disopiramida (fosfato) * 50 mg/5 ml ; vía parenteral ; solución inyectable","476","DISOPIRAMIDA (FOSFATO) * 50 MG/5 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","DISOPIRAMIDA (fosfato) 50 mg/5 ml solución inyectable"
"80","amfotericina B * 10 % ; vía oral ; suspensión oral","560","AMFOTERICINA B * 10 % ; VIA ORAL ; SUSPENSION ORAL","AMFOTERICINA B 10 % suspensión oral"
"81","amikacina (sulfato) * 500 mg ; vía parenteral ; polvo para solución inyectable","411","AMIKACINA (SULFATO) * 500 MG ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","AMIKACINA (sulfato) 500 mg polvo para solución inyectable"
"82","verapamilo clorhidrato * 120 mg ; vía oral ; comprimido","59","VERAPAMILO CLORHIDRATO * 120 MG ; VIA ORAL ; COMPRIMIDO","VERAPAMILO CLORHIDRATO 120 mg comprimido"
"83","loxapina (succinato) * 25 mg ; vía oral ; comprimido","59","LOXAPINA (SUCCINATO) * 25 MG ; VIA ORAL ; COMPRIMIDO","LOXAPINA (succinato) 25 mg comprimido"
"85","betametasona (dipropionato) * 0,05 % ; uso cutáneo ; pomada","330","BETAMETASONA (DIPROPIONATO) * 0,05 % ; USO CUTANEO ; POMADA","BETAMETASONA (dipropionato) 0,05 % pomada"
"86","adenina * 30 mg ; vía oral ; comprimido","59","ADENINA * 30 MG ; VIA ORAL ; COMPRIMIDO","ADENINA 30 mg comprimido"
"87","ascorbato cálcico * 100 mg ; vía oral ; polvo para solución oral en sobre","1811","ASCORBATO CALCICO * 100 MG ; VIA ORAL ; POLVO PARA SOLUCION ORAL EN SOBRE","ASCORBATO CALCICO 100 mg polvo para solución oral en sobre"
"88","entecavir * 0,5 mg ; vía oral ; comprimido","59","ENTECAVIR * 0,5 MG ; VIA ORAL ; COMPRIMIDO","ENTECAVIR 0,5 mg comprimido"
"89","desmopresina acetato * 0,1 mg ; vía oral ; comprimido","59","DESMOPRESINA ACETATO * 0,1 MG ; VIA ORAL ; COMPRIMIDO","DESMOPRESINA ACETATO 0,1 mg comprimido"
"90","cefuroxima (sódica) * 750 mg ; vía parenteral ; polvo para solución inyectable","411","CEFUROXIMA (SODICA) * 750 MG ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","CEFUROXIMA (sódica) 750 mg polvo para solución inyectable"
"91","meloxicam * 7,5 mg ; vía rectal ; supositorio","555","MELOXICAM * 7,5 MG ; VIA RECTAL ; SUPOSITORIO","MELOXICAM 7,5 mg supositorio"
"92","glucosa fosfato disódico * 125,4 mg/ml ; vía parenteral ; concentrado para solución para perfusión","453","GLUCOSA FOSFATO DISODICO * 125,4 MG/ML ; VIA PARENTERAL ; CONCENTRADO PARA SOLUCION PARA PERFUSION","GLUCOSA FOSFATO DISODICO 125,4 mg/ml concentrado para solución para perfusión"
"93","fenofibrato * 145 mg ; vía oral ; comprimido","59","FENOFIBRATO * 145 MG ; VIA ORAL ; COMPRIMIDO","FENOFIBRATO 145 mg comprimido"
"94","piridoxina clorhidrato * 250 mg ; vía oral ; comprimido","59","PIRIDOXINA CLORHIDRATO * 250 MG ; VIA ORAL ; COMPRIMIDO","PIRIDOXINA CLORHIDRATO 250 mg comprimido"
"95","pilocarpina nitrato * 8 mg/0,4 ml ; vía oftálmica ; colirio en solución en envase unidosis","1839","PILOCARPINA NITRATO * 8 MG/0,4 ML ; VIA OFTALMICA ; COLIRIO EN SOLUCION EN ENVASE UNIDOSIS","PILOCARPINA NITRATO 8 mg/0,4 ml colirio en solución en envase unidosis"
"97","trandolapril * 2 mg ; vía oral ; cápsula dura","219","TRANDOLAPRIL * 2 MG ; VIA ORAL ; CAPSULA DURA","TRANDOLAPRIL 2 mg cápsula dura"
"98","estavudina * 20 mg ; vía oral ; cápsula dura","219","ESTAVUDINA * 20 MG ; VIA ORAL ; CAPSULA DURA","ESTAVUDINA 20 mg cápsula dura"
"99","ruscogenina * 0,5 % + trimebutina * 5,8 % ; vía rectal ; crema rectal","153","RUSCOGENINA * 0,5 % + TRIMEBUTINA * 5,8 % ; VIA RECTAL ; CREMA RECTAL","RUSCOGENINA 0,5 % + TRIMEBUTINA 5,8 % crema rectal"
"100","benzocaína * 9 % ; vía bucal + uso dental ; pasta dental","319","BENZOCAINA * 9 % ; VIA BUCAL + USO DENTAL ; PASTA DENTAL","BENZOCAINA 9 % pasta dental"
"101","erlotinib (hidrocloruro) * 25 mg ; vía oral ; comprimido","59","ERLOTINIB (HIDROCLORURO) * 25 MG ; VIA ORAL ; COMPRIMIDO","ERLOTINIB (hidrocloruro) 25 mg comprimido"
"102","enoxolona * 2 % ; uso cutáneo ; crema","146","ENOXOLONA * 2 % ; USO CUTANEO ; CREMA","ENOXOLONA 2 % crema"
"103","ceftazidima * 2 g ; vía parenteral ; polvo para solución inyectable","411","CEFTAZIDIMA * 2 G ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","CEFTAZIDIMA 2 g polvo para solución inyectable"
"104","olsalazina sódica * 250 mg ; vía oral ; cápsula dura","219","OLSALAZINA SODICA * 250 MG ; VIA ORAL ; CAPSULA DURA","OLSALAZINA SODICA 250 mg cápsula dura"
"105","metotrexato * 100 mg/ml ; vía parenteral ; solución inyectable","476","METOTREXATO * 100 MG/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","METOTREXATO 100 mg/ml solución inyectable"
"106","isoniazida * 500 mg/5 ml ; vía parenteral ; solución inyectable","476","ISONIAZIDA * 500 MG/5 ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","ISONIAZIDA 500 mg/5 ml solución inyectable"
"107","verapamilo clorhidrato * 240 mg ; vía oral ; cápsula dura de liberación prolongada","225","VERAPAMILO CLORHIDRATO * 240 MG ; VIA ORAL ; CAPSULA DURA DE LIBERACION PROLONGADA","VERAPAMILO CLORHIDRATO 240 mg cápsula dura de liberación prolongada"
"108","ranitidina (hidrocloruro) * 300 mg ; vía oral ; granulado efervescente","241","RANITIDINA (HIDROCLORURO) * 300 MG ; VIA ORAL ; GRANULADO EFERVESCENTE","RANITIDINA (hidrocloruro) 300 mg granulado efervescente"
"109","repaglinida * 2 mg ; vía oral ; comprimido","59","REPAGLINIDA * 2 MG ; VIA ORAL ; COMPRIMIDO","REPAGLINIDA 2 mg comprimido"
"110","ibuprofeno * 300 mg ; vía oral ; cápsula dura de liberación prolongada","225","IBUPROFENO * 300 MG ; VIA ORAL ; CAPSULA DURA DE LIBERACION PROLONGADA","IBUPROFENO 300 mg cápsula dura de liberación prolongada"
"111","flufenazina decanoato * 25 mg/1 ml ; vía intramuscular ; solución inyectable","476","FLUFENAZINA DECANOATO * 25 MG/1 ML ; VIA INTRAMUSCULAR ; SOLUCION INYECTABLE","FLUFENAZINA DECANOATO 25 mg/1 ml solución inyectable"
"112","calcio (carbonato) * 500 mg ; vía oral ; comprimido efervescente","83","CALCIO (CARBONATO) * 500 MG ; VIA ORAL ; COMPRIMIDO EFERVESCENTE","CALCIO (carbonato) 500 mg comprimido efervescente"
"113","rituximab * 100 mg ; vía parenteral ; concentrado para solución para perfusión","453","RITUXIMAB * 100 MG ; VIA PARENTERAL ; CONCENTRADO PARA SOLUCION PARA PERFUSION","RITUXIMAB 100 mg concentrado para solución para perfusión"
"114","pipotiazina * 10 mg ; vía oral ; comprimido","59","PIPOTIAZINA * 10 MG ; VIA ORAL ; COMPRIMIDO","PIPOTIAZINA 10 mg comprimido"
"116","erdosteína * 300 mg ; vía oral ; cápsula dura","219","ERDOSTEINA * 300 MG ; VIA ORAL ; CAPSULA DURA","ERDOSTEINA 300 mg cápsula dura"
"117","dipiridamol * 150 mg ; vía oral ; comprimido","59","DIPIRIDAMOL * 150 MG ; VIA ORAL ; COMPRIMIDO","DIPIRIDAMOL 150 mg comprimido"
"118","cromocarbo dietilamina * 200 mg ; vía oral ; cápsula dura","219","CROMOCARBO DIETILAMINA * 200 MG ; VIA ORAL ; CAPSULA DURA","CROMOCARBO DIETILAMINA 200 mg cápsula dura"
"119","mepivacaína clorhidrato * 20 mg/ml ; vía parenteral ; solución inyectable","476","MEPIVACAINA CLORHIDRATO * 20 MG/ML ; VIA PARENTERAL ; SOLUCION INYECTABLE","MEPIVACAINA CLORHIDRATO 20 mg/ml solución inyectable"
"120","hidrocortisona * 10 mg ; vía oral ; comprimido","59","HIDROCORTISONA * 10 MG ; VIA ORAL ; COMPRIMIDO","HIDROCORTISONA 10 mg comprimido"
"121","ciproterona acetato * 2 mg + etinilestradiol * 0,035 mg ; vía oral ; comprimido","59","CIPROTERONA ACETATO * 2 MG + ETINILESTRADIOL * 0,035 MG ; VIA ORAL ; COMPRIMIDO","CIPROTERONA ACETATO 2 mg + ETINILESTRADIOL 0,035 mg comprimido"
"122","estreptomicina (sulfato) * 1 g ; vía parenteral ; polvo para solución inyectable","411","ESTREPTOMICINA (SULFATO) * 1 G ; VIA PARENTERAL ; POLVO PARA SOLUCION INYECTABLE","ESTREPTOMICINA (sulfato) 1 g polvo para solución inyectable"
"123","nafazolina nitrato * 0,025 % + prednisolona * 0,02 % ; vía nasal ; solución para pulverización nasal","541","NAFAZOLINA NITRATO * 0,025 % + PREDNISOLONA * 0,02 % ; VIA NASAL ; SOLUCION PARA PULVERIZACION NASAL","NAFAZOLINA NITRATO 0,025 % + PREDNISOLONA 0,02 % solución para pulverización nasal"
"124","mianserina clorhidrato * 30 mg ; vía oral ; comprimido","59","MIANSERINA CLORHIDRATO * 30 MG ; VIA ORAL ; COMPRIMIDO","MIANSERINA CLORHIDRATO 30 mg comprimido"
"125","acetato de flecainida * 100 mg ; vía oral ; comprimido","59","ACETATO DE FLECAINIDA * 100 MG ; VIA ORAL ; COMPRIMIDO","ACETATO DE FLECAINIDA 100 mg comprimido"
"126","dexametasona fosfato (sódico) * 1 mg/ml + neomicina sulfato * 3.500 UI/ml ; vía oftálmica ; colirio en solución","53","DEXAMETASONA FOSFATO (SODICO) * 1 MG/ML + NEOMICINA SULFATO * 3.500 UI/ML ; VIA OFTALMICA ; COLIRIO EN SOLUCION","DEXAMETASONA FOSFATO (sódico) 1 mg/ml + NEOMICINA SULFATO 3.500 UI/ml colirio en solución"
