"indicationid","name","name_noaccent"
"92364","Insuficiencia renal crónica en fase predialítica con retención de agua y sodio o hipertensión","INSUFICIENCIA RENAL CRONICA EN FASE PREDIALITICA CON RETENCION DE AGUA Y SODIO O HIPERTENSION"
"92374","Cáncer de la trompa de Falopio con mutación del gen BRCA, tratamiento de sustitución de sales de platino (del)","CANCER DE LA TROMPA DE FALOPIO CON MUTACION DEL GEN BRCA, TRATAMIENTO DE SUSTITUCION DE SALES DE PLATINO (DEL)"
"92384","Cáncer de ovario con la mutación del gen BRCA, tratamiento de sustitución de sales de platino (del)","CANCER DE OVARIO CON LA MUTACION DEL GEN BRCA, TRATAMIENTO DE SUSTITUCION DE SALES DE PLATINO (DEL)"
"92394","Cáncer peritoneal primario con mutación del gen BRCA, tratamiento de sustitución de sales de platino (del)","CANCER PERITONEAL PRIMARIO CON MUTACION DEL GEN BRCA, TRATAMIENTO DE SUSTITUCION DE SALES DE PLATINO (DEL)"
"92404","Eliminación de sodio y agua en caso de insuficiencia renal crónica","ELIMINACION DE SODIO Y AGUA EN CASO DE INSUFICIENCIA RENAL CRONICA"
"92474","Manifestaciones dolorosas y pruriginosas cutáneas, tratamiento sintomático (de las)","MANIFESTACIONES DOLOROSAS Y PRURIGINOSAS CUTANEAS, TRATAMIENTO SINTOMATICO (DE LAS)"
"92484","Cáncer de ovario, tratamiento de sustitución de sales de platino (del)","CANCER DE OVARIO, TRATAMIENTO DE SUSTITUCION DE SALES DE PLATINO (DEL)"
"92504","Edema debido a una quemadura.","EDEMA DEBIDO A UNA QUEMADURA."
"92514","Diuresis forzada en caso de intoxicación","DIURESIS FORZADA EN CASO DE INTOXICACION"
"92524","Distrofia retiniana hereditaria debido a una mutacion del gen RPE65","DISTROFIA RETINIANA HEREDITARIA DEBIDO A UNA MUTACION DEL GEN RPE65"
"92544","Vejiga hiperactiva de origen neurógeno en niños de 2 a 18 años","VEJIGA HIPERACTIVA DE ORIGEN NEUROGENO EN NIÑOS DE 2 A 18 AÑOS"
"92554","Vertigo en el anciano","VERTIGO EN EL ANCIANO"
"92564","Sindrome de apnea central del sueño","SINDROME DE APNEA CENTRAL DEL SUEÑO"
"92584","Prevención de eventos cardiovasculares en el adulto arteriosclerótico, tratamiento asociado de 2ª línea","PREVENCION DE EVENTOS CARDIOVASCULARES EN EL ADULTO ARTERIOSCLEROTICO, TRATAMIENTO ASOCIADO DE 2ª LINEA"
"92594","Prevención de eventos cardiovasculares en el adulto arteriosclerótico, tratamiento de 2ª línea","PREVENCION DE EVENTOS CARDIOVASCULARES EN EL ADULTO ARTERIOSCLEROTICO, TRATAMIENTO DE 2ª LINEA"
"92604","Cáncer epidérmico cutáneo localmente avanzado o metastásico, tratamiento de segunda línea (del)","CANCER EPIDERMICO CUTANEO LOCALMENTE AVANZADO O METASTASICO, TRATAMIENTO DE SEGUNDA LINEA (DEL)"
"92614","Tumores neuroendocrinos gastroenteropancreáticos metastásicos","TUMORES NEUROENDOCRINOS GASTROENTEROPANCREATICOS METASTASICOS"
"92624","Cáncer broncopulmonar microcítico extendido con un índice de ECOG < 2","CANCER BRONCOPULMONAR MICROCITICO EXTENDIDO CON UN INDICE DE ECOG < 2"
"92644","Cáncer de la unión gastroesofágica avanzada, tto de segunda línea (del)","CANCER DE LA UNION GASTROESOFAGICA AVANZADA, TTO DE SEGUNDA LINEA (DEL)"
"24","Acidosis metabólica","ACIDOSIS METABOLICA"
"104","Adenocarcinoma metastásico de los islotes de Langerhans","ADENOCARCINOMA METASTASICO DE LOS ISLOTES DE LANGERHANS"
"164","Afección aguda postraumática del aparato locomotor, tratamiento sintomático (de la)","AFECCION AGUDA POSTRAUMATICA DEL APARATO LOCOMOTOR, TRATAMIENTO SINTOMATICO (DE LA)"
"171","Distocia","DISTOCIA"
"174","Dermatosis bullosa autoinmunitaria","DERMATOSIS BULLOSA AUTOINMUNITARIA"
"194","Fiebre","FIEBRE"
"214","Afección reumática","AFECCION REUMATICA"
"224","Amebiasis hepática grave","AMEBIASIS HEPATICA GRAVE"
"261","Acné","ACNE"
"274","Alcalosis metabólica","ALCALOSIS METABOLICA"
"281","Acné rosácea","ACNE ROSACEA"
"304","Manifestaciones alérgicas, tratamiento sintomático (de las)","MANIFESTACIONES ALERGICAS, TRATAMIENTO SINTOMATICO (DE LAS)"
"324","Alergia alimentaria","ALERGIA ALIMENTARIA"
"384","Antisepsia ocular en cirugía oftálmica","ANTISEPSIA OCULAR EN CIRUGIA OFTALMICA"
"434","Anemia ferropénica","ANEMIA FERROPENICA"
"444","Anemia hemolítica autoinmune","ANEMIA HEMOLITICA AUTOINMUNE"
"454","Anemia macrocitaria por carencia de ácido fólico","ANEMIA MACROCITARIA POR CARENCIA DE ACIDO FOLICO"
"484","Afta","AFTA"
"494","Anestesia en odontoestomatología","ANESTESIA EN ODONTOESTOMATOLOGIA"
"504","Anestesia epidural","ANESTESIA EPIDURAL"
"514","Apnea neonatal del prematuro","APNEA NEONATAL DEL PREMATURO"
"534","Intoxicación aguda por anticolinesterásicos","INTOXICACION AGUDA POR ANTICOLINESTERASICOS"
"554","Intoxicación aguda por parasimpaticomiméticos","INTOXICACION AGUDA POR PARASIMPATICOMIMETICOS"
"584","Anestesia general","ANESTESIA GENERAL"
"604","Asma de esfuerzo, tratamiento preventivo (del)","ASMA DE ESFUERZO, TRATAMIENTO PREVENTIVO (DEL)"
"634","Aporte de ácidos grasos esenciales","APORTE DE ACIDOS GRASOS ESENCIALES"
"684","Paro cardíaco","PARO CARDIACO"
"754","Artrosis dolorosa e incapacitante, tratamiento prolongado (de la)","ARTROSIS DOLOROSA E INCAPACITANTE, TRATAMIENTO PROLONGADO (DE LA)"
"764","Artrosis, tratamiento sintomático (de la)","ARTROSIS, TRATAMIENTO SINTOMATICO (DE LA)"
"824","Gripe, tratamiento sintomático (de la)","GRIPE, TRATAMIENTO SINTOMATICO (DE LA)"
"854","Inflamación de segmento anterior del ojo asociada a uveítis","INFLAMACION DE SEGMENTO ANTERIOR DEL OJO ASOCIADA A UVEITIS"
"874","Bajo gasto cardíaco","BAJO GASTO CARDIACO"
"904","Bloqueo auriculoventricular durante el infarto","BLOQUEO AURICULOVENTRICULAR DURANTE EL INFARTO"
"914","Nódulo sinoauricular sincopal, enfermedad (del)","NODULO SINOAURICULAR SINCOPAL, ENFERMEDAD (DEL)"
"924","Bradicardia sinusal durante el infarto","BRADICARDIA SINUSAL DURANTE EL INFARTO"
"954","EPOC, evaluación de la reversibilidad del síndrome obstructivo (de la)","EPOC, EVALUACION DE LA REVERSIBILIDAD DEL SINDROME OBSTRUCTIVO (DE LA)"
"963","Anestesia cutánea","ANESTESIA CUTANEA"
"1004","Bloqueo auriculoventricular","BLOQUEO AURICULOVENTRICULAR"
"1024","Calciterapia, tratamiento de urgencia (de la)","CALCITERAPIA, TRATAMIENTO DE URGENCIA (DE LA)"
"1304","Cáncer de mama metastásico","CANCER DE MAMA METASTASICO"
"1331","Atonía intestinal","ATONIA INTESTINAL"
"1554","Tétanos, tratamiento curativo (del)","TETANOS, TRATAMIENTO CURATIVO (DEL)"
"1561","Caquexia","CAQUEXIA"
"1564","Carencia de hierro, tratamiento preventivo (de la)","CARENCIA DE HIERRO, TRATAMIENTO PREVENTIVO (DE LA)"
"1604","Cetosis durante desnutrición","CETOSIS DURANTE DESNUTRICION"
"1614","Queloide","QUELOIDE"
"1621","Cáncer de ovario","CANCER DE OVARIO"
"1623","Artritis aguda","ARTRITIS AGUDA"
"1624","Parkinsoniano inducido por neurolépticos, síndrome, tratamiento de urgencia (del)","PARKINSONIANO INDUCIDO POR NEUROLEPTICOS, SINDROME, TRATAMIENTO DE URGENCIA (DEL)"
"1631","Cáncer de próstata","CANCER DE PROSTATA"
"1644","Choque anafiláctico, tratamiento complementario (del)","CHOQUE ANAFILACTICO, TRATAMIENTO COMPLEMENTARIO (DEL)"
"1663","Artrosis","ARTROSIS"
"1671","Cáncer de endometrio","CANCER DE ENDOMETRIO"
"1674","Choque hipovolémico","CHOQUE HIPOVOLEMICO"
"1721","Insuficiencia coronaria","INSUFICIENCIA CORONARIA"
"1734","Cicatriz hipertrófica","CICATRIZ HIPERTROFICA"
"1741","Catarata","CATARATA"
"1744","Cólico hepático","COLICO HEPATICO"
"1761","Cervicitis","CERVICITIS"
"1764","Cólico nefrítico","COLICO NEFRITICO"
"1774","Dacriocistitis","DACRIOCISTITIS"
"1781","Choque cardiogénico","CHOQUE CARDIOGENICO"
"1791","Choque séptico","CHOQUE SEPTICO"
"1804","Colopatía funcional","COLOPATIA FUNCIONAL"
"1831","Coriorretinitis","CORIORRETINITIS"
"1834","Conectivitis","CONECTIVITIS"
"1844","Contusión, tratamiento complementario (de la)","CONTUSION, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"1884","Cushing paraneoplásico, síndrome (de)","CUSHING PARANEOPLASICO, SINDROME (DE)"
"1904","Dermatitis atópica","DERMATITIS ATOPICA"
"1934","Osteomalacia","OSTEOMALACIA"
"1954","Deshidratación","DESHIDRATACION"
"1981","Epilepsia","EPILEPSIA"
"1994","Dilución o disolución extemporánea de preparaciones inyectables","DILUCION O DISOLUCION EXTEMPORANEA DE PREPARACIONES INYECTABLES"
"2051","Estreñimiento crónico","ESTREÑIMIENTO CRONICO"
"2104","Dolor intenso","DOLOR INTENSO"
"2144","Diabetes no insulinodependiente en el adulto","DIABETES NO INSULINODEPENDIENTE EN EL ADULTO"
"2174","Neuralgia","NEURALGIA"
"2194","Neuralgia cervicobraquial","NEURALGIA CERVICOBRAQUIAL"
"2241","Hipertensión arterial maligna","HIPERTENSION ARTERIAL MALIGNA"
"2244","Espasmolítico musculotrópico","ESPASMOLITICO MUSCULOTROPICO"
"2284","Dolor espasmódico ginecológico","DOLOR ESPASMODICO GINECOLOGICO"
"2414","Endocarditis, tratamiento preventivo (de la)","ENDOCARDITIS, TRATAMIENTO PREVENTIVO (DE LA)"
"2444","Eclampsia, tratamiento curativo (de la)","ECLAMPSIA, TRATAMIENTO CURATIVO (DE LA)"
"2454","Eclampsia, tratamiento preventivo (de la)","ECLAMPSIA, TRATAMIENTO PREVENTIVO (DE LA)"
"2464","Eccema","ECCEMA"
"2514","Encefalopatía hepática","ENCEFALOPATIA HEPATICA"
"2534","Dismenorrea","DISMENORREA"
"2544","Choque","CHOQUE"
"2614","Esguince, tratamiento complementario (del)","ESGUINCE, TRATAMIENTO COMPLEMENTARIO (DEL)"
"2693","Bronquitis","BRONQUITIS"
"2714","Eritema solar","ERITEMA SOLAR"
"2724","Eritroblastopenia crónica","ERITROBLASTOPENIA CRONICA"
"2764","Nerviosismo, tratamiento fitoterapéutico (del)","NERVIOSISMO, TRATAMIENTO FITOTERAPEUTICO (DEL)"
"2784","Exoftalmia edematosa","EXOFTALMIA EDEMATOSA"
"2791","Hepatitis autoinmune","HEPATITIS AUTOINMUNE"
"2814","Exploración dinámica de la corteza suprarrenal","EXPLORACION DINAMICA DE LA CORTEZA SUPRARRENAL"
"2833","Bursitis","BURSITIS"
"2844","Fibrosis pulmonar intersticial difusa","FIBROSIS PULMONAR INTERSTICIAL DIFUSA"
"2864","Fiebre tifoidea","FIEBRE TIFOIDEA"
"2894","Glomerulonefritis","GLOMERULONEFRITIS"
"2904","Glucagonoma","GLUCAGONOMA"
"2954","Hemodilución normovolémica","HEMODILUCION NORMOVOLEMICA"
"2964","Cáncer que precisa quimioterapia, tratamiento asociado (del)","CANCER QUE PRECISA QUIMIOTERAPIA, TRATAMIENTO ASOCIADO (DEL)"
"2974","Hepatitis crónica activa autoinmune","HEPATITIS CRONICA ACTIVA AUTOINMUNE"
"2983","Cáncer de estómago","CANCER DE ESTOMAGO"
"3013","Cáncer de vejiga","CANCER DE VEJIGA"
"3034","Horton, enfermedad (de)","HORTON, ENFERMEDAD (DE)"
"3053","Cáncer de hígado","CANCER DE HIGADO"
"3054","Hipercalciuria","HIPERCALCIURIA"
"3071","Arritmia ventricular","ARRITMIA VENTRICULAR"
"3072","Carencia de calcio","CARENCIA DE CALCIO"
"3073","Cáncer de riñón","CANCER DE RIÑON"
"3083","Cáncer de mama","CANCER DE MAMA"
"3104","Glaucoma crónico","GLAUCOMA CRONICO"
"3114","Hipoglucemia aguda, tratamiento de urgencia (de la)","HIPOGLUCEMIA AGUDA, TRATAMIENTO DE URGENCIA (DE LA)"
"3124","Hipocalcemia","HIPOCALCEMIA"
"3171","Hiperfosfatemia","HIPERFOSFATEMIA"
"3184","Hipovolemia","HIPOVOLEMIA"
"3191","Dermatosis grave","DERMATOSIS GRAVE"
"3193","Candidiasis genital","CANDIDIASIS GENITAL"
"3222","Dermatosis infectada","DERMATOSIS INFECTADA"
"3224","Hiperbilirrubinemia","HIPERBILIRRUBINEMIA"
"3233","Candidiasis orofaríngea","CANDIDIASIS OROFARINGEA"
"3274","Gingivitis","GINGIVITIS"
"3301","Delírium trémens","DELIRIUM TREMENS"
"3314","Hemorragia benigna de origen estomatológico","HEMORRAGIA BENIGNA DE ORIGEN ESTOMATOLOGICO"
"3334","Estomatitis","ESTOMATITIS"
"3344","Insomnio ocasional","INSOMNIO OCASIONAL"
"3364","Sueño, trastornos leves (del)","SUEÑO, TRASTORNOS LEVES (DEL)"
"3414","Intoxicación por fenobarbital","INTOXICACION POR FENOBARBITAL"
"3453","Celulitis","CELULITIS"
"3454","Irrigación vesical","IRRIGACION VESICAL"
"3504","Laringitis estridulosa","LARINGITIS ESTRIDULOSA"
"3511","Eccema agudo","ECCEMA AGUDO"
"3524","Hiperpotasemia","HIPERPOTASEMIA"
"3553","Cloasma","CLOASMA"
"3654","Tricoleucemia","TRICOLEUCEMIA"
"3664","Liquen plano","LIQUEN PLANO"
"3694","Lumbalgia aguda, tratamiento complementario (de la)","LUMBALGIA AGUDA, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"3704","Lumbalgia, tratamiento de los episodios (de)","LUMBALGIA, TRATAMIENTO DE LOS EPISODIOS (DE)"
"3741","Depresión","DEPRESION"
"3743","Cirrosis biliar primaria","CIRROSIS BILIAR PRIMARIA"
"3754","Linfoma T cutáneo, tratamiento por fotoquimioterapia (del)","LINFOMA T CUTANEO, TRATAMIENTO POR FOTOQUIMIOTERAPIA (DEL)"
"3781","Escara","ESCARA"
"3824","Injerto contra huésped, reacción (de), tratamiento curativo (de la)","INJERTO CONTRA HUESPED, REACCION (DE), TRATAMIENTO CURATIVO (DE LA)"
"3844","Cinetosis","CINETOSIS"
"3884","Melanoma maligno","MELANOMA MALIGNO"
"3954","Infección durante cirugía ginecológica, tratamiento preventivo (de la)","INFECCION DURANTE CIRUGIA GINECOLOGICA, TRATAMIENTO PREVENTIVO (DE LA)"
"3964","Miastenia","MIASTENIA"
"3974","Micosis fungoide","MICOSIS FUNGOIDE"
"4041","Fibrilación ventricular","FIBRILACION VENTRICULAR"
"4121","Insuficiencia suprarrenal","INSUFICIENCIA SUPRARRENAL"
"4124","Edema de Quincke","EDEMA DE QUINCKE"
"4134","Edema cerebral","EDEMA CEREBRAL"
"4174","Infección ginecológica alta","INFECCION GINECOLOGICA ALTA"
"4204","Fenómenos inflamatorios tubotimpánicos","FENOMENOS INFLAMATORIOS TUBOTIMPANICOS"
"4264","Pénfigo","PENFIGO"
"4334","Picadura de insecto, tratamiento complementario (de la)","PICADURA DE INSECTO, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"4364","Poliartritis","POLIARTRITIS"
"4374","Poliartritis reumatoide, tratamiento de fondo (de la)","POLIARTRITIS REUMATOIDE, TRATAMIENTO DE FONDO (DE LA)"
"4404","Poliglobulia primaria","POLIGLOBULIA PRIMARIA"
"4414","Poliposis nasosinusal","POLIPOSIS NASOSINUSAL"
"4424","Polirradiculoneuritis idiopática inflamatoria crónica","POLIRRADICULONEURITIS IDIOPATICA INFLAMATORIA CRONICA"
"4464","Rectocolitis hemorrágica, tratamiento sintomático de los episodios (de la)","RECTOCOLITIS HEMORRAGICA, TRATAMIENTO SINTOMATICO DE LOS EPISODIOS (DE LA)"
"4474","Enfermedad de Crohn, tratamiento de las crisis (de la)","ENFERMEDAD DE CROHN, TRATAMIENTO DE LAS CRISIS (DE LA)"
"4484","Episodio edematosos e inflamatorio asociado a los tratamientos antineoplásicos","EPISODIO EDEMATOSOS E INFLAMATORIO ASOCIADO A LOS TRATAMIENTOS ANTINEOPLASICOS"
"4504","Reumatismo abarticular, tratamiento de los episodios (de)","REUMATISMO ABARTICULAR, TRATAMIENTO DE LOS EPISODIOS (DE)"
"4514","Reumatismo inflamatorio, tratamiento de los episodios (de)","REUMATISMO INFLAMATORIO, TRATAMIENTO DE LOS EPISODIOS (DE)"
"4534","Esclerosis múltiple, tratamiento de los episodios (de la)","ESCLEROSIS MULTIPLE, TRATAMIENTO DE LOS EPISODIOS (DE LA)"
"4544","Sinusitis aguda","SINUSITIS AGUDA"
"4564","Premedicación para exploraciones funcionales","PREMEDICACION PARA EXPLORACIONES FUNCIONALES"
"4594","Prurito","PRURITO"
"4604","Pseudopoliartritis rizomélica","PSEUDOPOLIARTRITIS RIZOMELICA"
"4614","Púrpura trombopénica idiopática","PURPURA TROMBOPENICA IDIOPATICA"
"4684","Reacción injerto contra huésped tras trasplante de médula ósea","REACCION INJERTO CONTRA HUESPED TRAS TRASPLANTE DE MEDULA OSEA"
"4704","Rectitis","RECTITIS"
"4724","Mecanismo de equilibrio hidroelectrolítico","MECANISMO DE EQUILIBRIO HIDROELECTROLITICO"
"4734","Inflamación de las vías respiratorias altas, tratamiento complementario (de la)","INFLAMACION DE LAS VIAS RESPIRATORIAS ALTAS, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"4844","Reumatismo articular agudo","REUMATISMO ARTICULAR AGUDO"
"4851","Retinopatía vascular","RETINOPATIA VASCULAR"
"4854","Reumatismo inflamatorio crónico, tratamiento prolongado (del)","REUMATISMO INFLAMATORIO CRONICO, TRATAMIENTO PROLONGADO (DEL)"
"4874","Iritis","IRITIS"
"4924","Sarcoma de Kaposi asociado al sida, tratamiento tópico (del)","SARCOMA DE KAPOSI ASOCIADO AL SIDA, TRATAMIENTO TOPICO (DEL)"
"4931","Menorragia","MENORRAGIA"
"4964","Queratitis","QUERATITIS"
"4984","Queratitis herpética en el sujeto inmunocompetente","QUERATITIS HERPETICA EN EL SUJETO INMUNOCOMPETENTE"
"5004","Sinusitis aguda, tratamiento antiinflamatorio (de la)","SINUSITIS AGUDA, TRATAMIENTO ANTIINFLAMATORIO (DE LA)"
"5031","Miastenia grave","MIASTENIA GRAVE"
"5034","Queratitis traumática","QUERATITIS TRAUMATICA"
"5041","Mieloma múltiple","MIELOMA MULTIPLE"
"5091","Hipervitaminosis D","HIPERVITAMINOSIS D"
"5104","Espondilitis anquilosante, tratamiento sintomático","ESPONDILITIS ANQUILOSANTE, TRATAMIENTO SINTOMATICO"
"5134","Stokes-Adams, enfermedad (de)","STOKES-ADAMS, ENFERMEDAD (DE)"
"5174","Lavado de las fosas nasales","LAVADO DE LAS FOSAS NASALES"
"5194","Ansiedad, manifestaciones leves (de la)","ANSIEDAD, MANIFESTACIONES LEVES (DE LA)"
"5244","Membranas hialinas del recién nacido, síndrome (de las), tratamiento materno preventivo (del)","MEMBRANAS HIALINAS DEL RECIEN NACIDO, SINDROME (DE LAS), TRATAMIENTO MATERNO PREVENTIVO (DEL)"
"5251","Neuritis óptica","NEURITIS OPTICA"
"5304","Tendinitis, tratamiento local (de la)","TENDINITIS, TRATAMIENTO LOCAL (DE LA)"
"5334","Injerto contra huésped, reacción (de), tratamiento preventivo (de la)","INJERTO CONTRA HUESPED, REACCION (DE), TRATAMIENTO PREVENTIVO (DE LA)"
"5353","Dermatitis de contacto","DERMATITIS DE CONTACTO"
"5354","Prueba diagnóstica de miocardiopatía obstructiva","PRUEBA DIAGNOSTICA DE MIOCARDIOPATIA OBSTRUCTIVA"
"5364","Tetania hipocalcémica","TETANIA HIPOCALCEMICA"
"5384","Tiroiditis subaguda de De Quervain","TIROIDITIS SUBAGUDA DE DE QUERVAIN"
"5394","Trombolisis en la fase aguda del infarto de miocardio","TROMBOLISIS EN LA FASE AGUDA DEL INFARTO DE MIOCARDIO"
"5444","Torsades de pointes","TORSADES DE POINTES"
"5504","Cólico uterino","COLICO UTERINO"
"5554","Choque anafiláctico, tratamiento de urgencia (del)","CHOQUE ANAFILACTICO, TRATAMIENTO DE URGENCIA (DEL)"
"5593","Diabetes insípida","DIABETES INSIPIDA"
"5644","Tuberculosis","TUBERCULOSIS"
"5651","Periarteritis nudosa","PERIARTERITIS NUDOSA"
"5654","Tumor carcinoide metastásico","TUMOR CARCINOIDE METASTASICO"
"5661","Pericarditis","PERICARDITIS"
"5691","Peritonitis","PERITONITIS"
"5694","Obesidad, tratamiento complementario (de la)","OBESIDAD, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"5753","Dolor","DOLOR"
"5834","Uveítis","UVEITIS"
"5841","Neumonía","NEUMONIA"
"5844","Uveítis grave","UVEITIS GRAVE"
"5861","Neumopatía","NEUMOPATIA"
"5864","Vasculitis necrosante","VASCULITIS NECROSANTE"
"5874","Vehículo para aporte terapéutico","VEHICULO PARA APORTE TERAPEUTICO"
"5881","Poliartritis reumatoide","POLIARTRITIS REUMATOIDE"
"5884","Vipoma","VIPOMA"
"5891","Polimiositis","POLIMIOSITIS"
"5894","West, síndrome (de)","WEST, SINDROME (DE)"
"5923","Dolor muscular","DOLOR MUSCULAR"
"5941","Porfiria hepática","PORFIRIA HEPATICA"
"5974","Anemia megaloblástica iatrogénica","ANEMIA MEGALOBLASTICA IATROGENICA"
"5984","Angina de pecho","ANGINA DE PECHO"
"6021","Hipotensión arterial","HIPOTENSION ARTERIAL"
"6034","Angina inestable","ANGINA INESTABLE"
"6044","Enfermedad de Parkinson","ENFERMEDAD DE PARKINSON"
"6054","Angina de Prinzmetal, tratamiento preventivo (de la)","ANGINA DE PRINZMETAL, TRATAMIENTO PREVENTIVO (DE LA)"
"6072","Infección ginecológica","INFECCION GINECOLOGICA"
"6074","Angina espontánea, tratamiento preventivo (de la)","ANGINA ESPONTANEA, TRATAMIENTO PREVENTIVO (DE LA)"
"6104","Penalización óptica en el tratamiento de la ambliopía","PENALIZACION OPTICA EN EL TRATAMIENTO DE LA AMBLIOPIA"
"6124","Astenia, tratamiento complementario (de la)","ASTENIA, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"6224","Preparación para la fotocoagulación retiniana","PREPARACION PARA LA FOTOCOAGULACION RETINIANA"
"6244","Carencia de folatos, tratamiento preventivo (de la)","CARENCIA DE FOLATOS, TRATAMIENTO PREVENTIVO (DE LA)"
"6274","Arteriopatía crónica obliterante de las extremidades inferiores en estadio II","ARTERIOPATIA CRONICA OBLITERANTE DE LAS EXTREMIDADES INFERIORES EN ESTADIO II"
"6334","Dislexia en el niño, tratamiento complementario (de la)","DISLEXIA EN EL NIÑO, TRATAMIENTO COMPLEMENTARIO (DE LA)"
"6344","Palpitación psicógena","PALPITACION PSICOGENA"
"6354","Eretismo cardíaco","ERETISMO CARDIACO"
"6403","Ectropión uterino","ECTROPION UTERINO"
"6414","Extrasístole ventricular","EXTRASISTOLE VENTRICULAR"
"6422","Insuficiencia corticotropa","INSUFICIENCIA CORTICOTROPA"
"6431","Infección rinofaríngea","INFECCION RINOFARINGEA"
