"sideeffectid","name"
"1721","Insuficiencia coronaria"
"1723","Aspergilosis"
"1733","Asterixis"
"1734","Cicatriz hipertrófica"
"1741","Catarata"
"1743","Astenia"
"1744","Cólico hepático"
"1761","Cervicitis"
"1764","Cólico nefrítico"
"1781","Choque cardiogénico"
"1783","Asma (empeoramiento)"
"1791","Choque séptico"
"1793","Ataxia"
"1801","Colecistitis aguda"
"1803","Atetosis"
"1804","Colopatía funcional"
"1813","Atonía rectal"
"1823","Atonía uterina"
"1831","Coriorretinitis"
"1843","Atrofia hepática aguda"
"1853","Atrofia cerebral"
"1863","Adelgazamiento de la córnea"
"1873","Atrofia corticosuprarrenal"
"1883","Atrofia cutánea"
"1891","Trastorno de la coagulación"
"1893","Atrofia de la mucosa nasal"
"1903","Atrofia del nervio óptico"
"1904","Dermatitis atópica"
"1913","Atrofia muscular"
"1921","Colitis"
"1923","Atrofia subcutánea en el punto de inyección"
"1933","Atrofia testicular"
"1934","Osteomalacia"
"1941","Estado de choque emocional"
"1943","Atrofia villositaria intestinal"
"1953","Ataque de pánico"
"1954","Deshidratación"
"1961","Coma"
"1971","Coma diabético"
"1973","Afectación coclear"
"1981","Epilepsia"
"1983","Afectación cocleovestibular"
"1991","Infección"
"2001","Gangrena"
"2013","Neuropatía craneal"
"2021","Bloqueo de rama"
"2043","Afectación ginecológica"
"2073","Afectación oftalmológica"
"2083","Lesión osteoarticular"
"2091","Crisis de asma"
"2103","Episodio estomatológico"
"2123","Aumento del apetito"
"2143","Avitaminosis B12"
"2174","Neuralgia"
"2213","Azoospermia"
"2223","Bostezo"
"2243","Balanopostitis"
"2263","Tartamudez"
"2273","Bezoar gástrico"
"2283","Pruebas funcionales hepáticas (anomalías)"
"2291","Fiebre biliosa hemoglobinúrica"
"2303","Bilirrubinemia conjugada (aumento)"
"2313","Bilirrubinemia neonatal (aumento)"
"2323","Bilirrubinemia no conjugada (aumento)"
"2343","Bilirrubinuria"
"2363","Blefaritis"
"2373","Blefaroconjuntivitis"
"2383","Blefaroptosis"
"2413","Bloqueo auriculoventricular completo"
"2421","Glaucoma"
"2433","Bloqueo auriculoventricular (empeoramiento)"
"2463","Bloqueo intraventricular"
"2464","Eccema"
"2473","Bloqueo neuromuscular"
"2481","Bocio"
"2483","Bloqueo neuromuscular (prolongación)"
"2491","Gota"
"2513","Borborigmo"
"2514","Encefalopatía hepática"
"2523","Sofocos"
"2534","Dismenorrea"
"2544","Choque"
"2553","Zumbido de oído"
"2573","Bradicardia fetal"
"2581","Embarazo múltiple"
"2593","Bradicardia grave"
"2611","Dermatosis"
"2623","Bradipnea"
"2633","Bradipsiquia"
"2653","Bromoderma"
"2683","Bronquiolitis obliterante"
"2691","Hemorragia gastrointestinal"
"2693","Bronquitis"
"2703","Broncoconstricción"
"2714","Eritema solar"
"2721","Dermatosis bullosa"
"2724","Eritroblastopenia crónica"
"2741","Hemorragia uterina"
"2753","Quemadura cutánea"
"2763","Ardor epigástrico"
"2771","Hepatitis aguda"
"2773","Quemadura miccional"
"2783","Ardor esofágico"
"2791","Hepatitis autoinmune"
"2793","Quemadura retroesternal"
"2803","Quemadura vulvar"
"2811","Hepatitis crónica"
"2813","Bruxismo"
"2823","Bromosulftaleína (retención)"
"2833","Bursitis"
"2843","Cacosmia"
"2873","Calcemia (modificación)"
"2883","Calcificación corneal"
"2893","Calcificación de los tejidos blandos"
"2894","Glomerulonefritis"
"2913","Calcificación de ligamentos"
"2933","Calcificación vascular"
"2953","Calcinosis"
"2954","Hemodilución normovolémica"
"3003","Cáncer de piel"
"3013","Cáncer de vejiga"
"3023","Cáncer de pelvis"
"3053","Cáncer de hígado"
"3054","Hipercalciuria"
"3063","Cáncer de recto"
"3071","Arritmia ventricular"
"3072","Carencia de calcio"
"3073","Cáncer de riñón"
"3083","Cáncer de mama"
"3111","Hiperlipidemia"
"3113","Cáncer (fase evolutiva)"
"3121","Hipermagnesemia"
"3124","Hipocalcemia"
"3143","Candidiasis"
"3153","Candidiasis anogenital"
"3171","Hiperfosfatemia"
"3184","Hipovolemia"
"3193","Candidiasis genital"
"3203","Candidiasis intestinal"
"3213","Candidiasis mucosa"
"3224","Hiperbilirrubinemia"
"3231","Deshidratación intracelular"
"3232","Dermatosis supurante"
"3233","Candidiasis orofaríngea"
"3263","Cardiopatía (empeoramiento)"
"3274","Gingivitis"
"3281","Demencia"
"3301","Delírium trémens"
"3333","Caries dental"
"3334","Estomatitis"
"3341","Diarrea"
"3343","Catabolismo nitrogenado (aumento)"
"3363","Rinofaringitis"
"3373","Catatonia"
"3383","Catecolaminas plasmáticas (aumento)"
"3393","Catecolaminas urinarias (aumento)"
"3403","Pesadilla"
"3423","Ceguera"
"3433","Ceguera cortical"
"3441","Enfermedad del seno auricular sin marcapasos"
"3443","Célula de Hargraves"
"3453","Celulitis"
"3483","Cetonuria"
"3493","Calor cutáneo"
"3513","Campo visual (retracción)"
"3523","Queilitis"
"3524","Hiperpotasemia"
"3533","Quemosis"
"3553","Cloasma"
"3571","Encefalopatía"
"3573","Hipocloremia"
"3593","Choque anafiláctico"
"3643","Colangiocarcinoma"
"3663","Colangitis"
"3664","Liquen plano"
"3692","Disnea paroxística"
"3693","Corea"
"3703","Caída de la uña"
"3723","Sensación de párpado pegado"
"3731","Epitelioma basocelular"
"3733","Cinconismo"
"3741","Depresión"
"3751","Epitelioma espinocelular"
"3753","Cirrosis hepática"
"3771","Eritrosis facial"
"3773","Decreased creatinine clearance"
"3781","Escara"
"3783","INFECTOLOGÍA DE ORIGEN BACTERIANO"
"3793","INFECTOLOGÍA DE ORIGEN FÚNGICO"
"3803","INFECTOLOGÍA DE ORIGEN VIRAL"
"3813","PARASITOLOGÍA"
"3821","Estado hemodinámico inestable"
"3823","VARIOS"
"3833","INMUNOALERGOLOGÍA"
"3843","TOXICOLOGÍA"
"3844","Cinetosis"
"3853","NUTRICIÓN, METABOLISMO"
"3863","NEONATOLOGÍA"
"3873","CANCEROLOGÍA"
"3883","SISTEMA MUSCULOESQUELÉTICO"
"3893","SISTEMA RESPIRATORIO"
"3913","ANOMALÍA EN PRUEBAS DE LABORATORIO"
"3923","SISTEMA NERVIOSO"
"3933","ORL, ESTOMATOLOGÍA"
"3943","OFTALMOLOGÍA"
"3953","PSIQUIATRÍA"
"3964","Miastenia"
"3973","UROLOGÍA, NEFROLOGÍA"
"3974","Micosis fungoide"
"3983","GINECOLOGÍA, OBSTETRICIA"
"3991","Fecaloma"
"4003","SISTEMA CARDIOVASCULAR"
"4013","HEMATOLOGÍA"
"4023","DERMATOLOGÍA"
"4033","ENDOCRINOLOGÍA"
"4041","Fibrilación ventricular"
"4043","SISTEMA DIGESTIVO"
"4053","HEPATOLOGÍA"
"4063","INSTRUMENTACIÓN"
"4111","Hipertonía uterina"
"4121","Insuficiencia suprarrenal"
"4124","Edema de Quincke"
"4134","Edema cerebral"
"4173","Colitis colagenosa"
"4183","Colitis hemorrágica"
"4193","Colitis isquémica"
"4203","Colitis linfocitaria"
"4231","Hipocoagulabilidad"
"4243","Rectocolitis hemorrágica (empeoramiento)"
"4251","Malnutrición"
"4253","Colapso cardiovascular"
"4264","Pénfigo"
"4283","Tinción del iris"
"4293","Color de la orina (modificación)"
"4303","Tinción bucal"
"4313","Tinción conjuntival"
"4323","Tinción corneal"
"4333","Tinción lingual"
"4343","Tinción de la piel"
"4353","Tinción de la saliva"
"4363","Tinción de la esclerótica"
"4364","Poliartritis"
"4373","Tinción de las pestañas"
"4381","Insuficiencia renal crónica"
"4383","Tinción de los dientes"
"4393","Tinción de las lágrimas"
"4403","Tinción de las lentillas"
"4413","Tinción mucosa"
"4423","Tinción de la uña"
"4443","Tinción palpebral"
"4453","Tinción de las faneras"
"4463","Tinción de las secreciones"
"4473","Tinción de las heces"
"4483","Tinción del cristalino"
"4493","Tinción del tímpano"
"4513","Coma acidótico"
"4543","Coma hipoglucémico"
"4581","Leucemia"
"4583","Compresión medular"
"4593","Compresión nerviosa"
"4594","Prurito"
"4602","Fístula anal"
"4604","Pseudopoliartritis rizomélica"
"4611","Leucopenia"
"4613","Estado confuso-onírico"
"4614","Púrpura trombopénica idiopática"
"4623","Congestión facial"
"4633","Congestión nasal"
"4643","Congestión sinusal"
"4651","Litiasis cálcica"
"4653","Conjuntivitis"
"4671","Litiasis urinaria"
"4673","Contracción uterina"
"4683","Contracturas musculares"
"4691","Lutropina, aumento (de la)"
"4693","Cortisolemia (disminución)"
"4702","Glaucoma de ángulo cerrado"
"4703","Agujetas"
"4704","Rectitis"
"4713","CPK (aumento)"
"4723","Espasmo"
"4733","Cólico"
"4743","Espasmo epigástrico"
"4753","Espasmo gastrointestinal"
"4761","Enfermedad autoinmune"
"4763","Creatininemia (aumento)"
"4793","Crisis de gota"
"4803","Crisis de llanto"
"4813","Crisis hipertensiva"
"4833","Crisis oculógira"
"4843","Cristaluria"
"4851","Retinopatía vascular"
"4853","Curarización prolongada"
"4863","Piel laxa"
"4873","Cianosis"
"4874","Iritis"
"4883","Ciclo menstrual (trastorno)"
"4893","Ciclo menstrual (acortamiento)"
"4901","Hiperuricemia"
"4903","Cicloplejía"
"4923","Cilindruria"
"4931","Menorragia"
"4933","Cistalgia"
"4941","Menometrorragia"
"4943","Cistitis"
"4953","Cistitis hemorrágica"
"4964","Queratitis"
"4981","Hipervitaminosis A"
"4983","Dacriostenosis"
"4993","Gasto cardíaco (disminución)"
"5033","Desprendimiento de la coroides"
"5041","Mieloma múltiple"
"5043","Desprendimiento de retina"
"5053","Defecación imperiosa"
"5083","Delirio"
"5091","Hipervitaminosis D"
"5093","Delirio agudo"
"5133","Dependencia"
"5142","Hiperamoniemia"
"5143","Dependencia física"
"5153","Dependencia psíquica"
"5163","Despigmentación cutánea"
"5173","Despigmentación retiniana"
"5183","Despigmentación del cabello"
"5193","Pérdida de fósforo"
"5203","Pérdida de potasio"
"5213","Depósito conjuntival"
"5223","Depósito corneal"
"5231","Neuropatía diabética"
"5233","Depósito en la cámara anterior del ojo"
"5241","Neuropatía periférica"
"5243","Depósito retiniano"
"5251","Neuritis óptica"
"5252","Hiperosmolaridad plasmática"
"5263","Depresión cardiorrespiratoria"
"5271","Obesidad"
"5272","Hiperparatiroidismo secundario"
"5273","Depresión cardiovascular"
"5293","Depresión miocárdica"
"5303","Depresión respiratoria"
"5313","Depresión respiratoria neonatal"
"5323","Depresión (empeoramiento)"
"5333","Dermatitis"
"5353","Dermatitis de contacto"
"5391","Edema pulmonar"
"5393","Dermatitis perioral"
"5413","Dermatitis inducida por radioterapia (empeoramiento)"
"5423","Dermatitis inducida por radioterapia (recidiva)"
"5433","Dermatitis rosácea"
"5444","Torsades de pointes"
"5451","Otosclerosis"
"5453","Dermatomiositis"
"5501","Pancreatitis"
"5511","Pancreatitis aguda"
"5521","Pancreatitis crónica"
"5533","Desorientación temporoespacial"
"5543","Descamación cutánea"
"5593","Diabetes insípida"
"5603","Diabetes insípida nefrogénica"
"5631","Hipoglucemia"
"5643","Diabetes (desequilibrio)"
"5644","Tuberculosis"
"5651","Periarteritis nudosa"
"5661","Pericarditis"
"5682","Hipoproteinemia"
"5683","Diarrea sangrante"
"5691","Peritonitis"
"5693","Dificultad para dormir"
"5713","Dilatación del colon"
"5723","Diplopía"
"5731","Tromboflebitis"
"5733","Disección aórtica"
"5753","Dolor"
"5763","Dolor abdominal"
"5773","Dolor anal"
"5783","Dolor articular"
"5791","Herida"
"5803","Dolor en el punto de inyección"
"5813","Dolor en el lugar de origen del tumor"
"5823","Dolor bucofacial"
"5833","Dolor en el punto de aplicación"
"5834","Uveítis"
"5841","Neumonía"
"5851","Hiponatremia"
"5853","Dolor de las extremidades"
"5861","Neumopatía"
"5863","Dolor dorsal"
"5864","Vasculitis necrosante"
"5873","Dolor epigástrico"
"5881","Poliartritis reumatoide"
"5883","Dolor gingival"
"5891","Polimiositis"
"5902","Inmunodeficiencia"
"5913","Dolor lumbar"
"5923","Dolor muscular"
"5933","Dolor ocular"
"5943","Dolor orbitario"
"5953","Dolor óseo"
"5963","Dolor óseo (empeoramiento)"
"5973","Dolor parotídeo"
"5983","Dolor pélvico"
"5984","Angina de pecho"
"5993","Dolor faríngeo"
"6003","Precordialgia"
"6013","Dolor vertebral"
"6021","Hipotensión arterial"
"6033","Dolor retroesternal"
"6034","Angina inestable"
"6043","Dolor estenocárdico"
"6053","Dolor venoso"
"6063","Dolor testicular"
"6073","Dolor torácico"
"6083","Dolor vulvar"
"6093","Disartria"
"6103","Discromatopsia"
"6122","Infección pélvica"
"6133","Alteración del color ungueal"
"6151","Psoriasis pustulosa"
"6163","Disgeusia"
"6183","Discinesia"
"6193","Discinesia orofacial"
"6203","Discinesia precoz"
"6213","Discinesia tardía"
"6223","Dislipoproteinemia"
"6231","Púrpura"
"6243","Disovulación"
"6253","Dispareunia"
"6283","Disfonía"
"6291","Rectorragia"
"6303","Disnea"
"6313","Disnea aguda"
"6323","Disnea (empeoramiento)"
"6333","Desregulación térmica"
"6353","Distonía"
"6361","Retinopatía diabética proliferativa"
"6363","Distonía aguda"
"6371","Retinopatía hemorrágica"
"6373","Disuria"
"6381","Estenosis aórtica"
"6383","Disuria (empeoramiento)"
"6393","Equimosis"
"6403","Ectropión uterino"
"6413","Ectropión palpebral"
"6414","Extrasístole ventricular"
"6422","Insuficiencia corticotropa"
"6431","Infección rinofaríngea"
"6433","Eccema alérgico"
"6444","Fibrilación auricular"
"6463","Efecto disulfirámico"
"6481","Salpingitis"
"6483","Efecto atropínico"
"6503","Efecto comedogénico"
"6511","Esclerodermia"
"6513","Efecto hemodinámico"
"6514","Aleteo auricular"
"6521","Escleromalacia"
"6543","Efectos sistémicos"
"6553","Eflorescencia cutánea"
"6554","Hipercolesterolemia"
"6561","Sufrimiento fetal"
"6563","Eyaculado (disminución)"
"6573","Electrocardiograma (anomalía)"
"6583","Electroencefalograma (anomalía)"
"6603","Embolia arterial"
"6613","Embolia cerebral"
"6623","Embolia de colesterol"
"6624","Prostatitis"
"6643","Encefalomielitis aguda"
"6644","Hipertensión arterial"
"6661","Ictericia"
"6703","Encefalopatía metabólica"
"6713","Encefalopatía mioclónica"
"6714","Urgencia hipertensiva"
"6743","Obstrucción orofaríngea"
"6753","Endocarditis"
"6763","Adormecimiento"
"6773","Adormecimiento de la lengua"
"6774","Hipertrigliceridemia"
"6783","Ronquera"
"6791","Taquicardia"
"6794","Hipotensión ortostática"
"6801","Taquicardia paroxística"
"6803","Enterocolitis"
"6821","Taponamiento"
"6823","Enterocolitis hemorrágica"
"6833","Enterocolitis necrosante"
"6851","Íleo paralítico"
"6853","Enuresis"
"6863","Eosinofilia"
"6873","Derrame pericárdico"
"6874","Insuficiencia cardíaca"
"6883","Derrame pleural"
"6884","Insuficiencia cardíaca aguda"
"6893","Derrame sinovial"
"6913","Epidermólisis"
"6933","Epidermólisis bullosa"
"6943","Epididimitis"
"6944","Insuficiencia cardíaca congestiva"
"6963","Epilepsia (empeoramiento)"
"6973","Epifisiolisis"
"6974","Retracción palpebral"
"6981","Distiroidismo"
"7013","Erección"
"7033","Erosión cutánea"
"7043","Eructo"
"7053","Erupción acneiforme"
"7064","Lipotimia"
"7073","Erupción cutánea"
"7083","Erupción eccematiforme"
"7093","Erupción liquenoide"
"7103","Erupción maculosa"
"7113","Erupción maculopapulosa"
"7123","Erupción morbiliforme"
"7141","Úlcera de pierna"
"7143","Erupción pruriginosa"
"7153","Erupción psoriasiforme"
"7163","Erupción pustulosa"
"7164","Salmonelosis"
"7171","Valvulopatía"
"7173","Erupción escarlatiniforme"
"7183","Erupción urticarial"
"7184","Edema agudo de pulmón"
"7193","Eritema cutáneo"
"7201","Visión, trastorno (de la)"
"7203","Eritema en el punto de inyección"
"7231","Herpes zóster oftálmico"
"7233","Eritema generalizado"
"7243","Eritema nodular"
"7251","Hipertensión arterial pulmonar"
"7253","Eritema palmoplantar"
"7261","Infarto de miocardio"
"7283","Eritema pigmentado fijo"
"7291","Infección genital"
"7293","Eritema polimorfo"
"7301","Infección bacteriana"
"7303","Eritema vulvar"
"7313","Eritroblastopenia"
"7323","Eritrodermia"
"7333","Eritromelalgia de Weir Mitchell"
"7341","Infección vaginal"
"7353","Estradiol (aumento)"
"7383","Estado mioclónico"
"7393","Estornudo"
"7403","Euforia"
"7413","Exantema"
"7423","Excitación paradójica"
"7443","Exoftalmia"
"7453","Exploración funcional respiratoria (anomalía)"
"7461","Infección vírica"
"7463","Expulsión del DIU"
"7473","Exudado estéril"
"7481","Insuficiencia cardíaca grave"
"7483","Extrasístole"
"7493","Extrasístole auricular"
"7503","Extrasístole supraventricular"
"7521","Insuficiencia hepática"
"7533","Extrasístole bigeminada"
"7543","Facies lunar"
"7553","Factor reumatoide (aumento)"
"7573","Factores de coagulación (disminución)"
"7583","Debilidad muscular"
"7591","Púrpura trombopénica"
"7593","Fasciculación muscular"
"7611","Mononucleosis infecciosa"
"7613","Fatigabilidad muscular"
"7621","Varicela"
"7623","Falsa vía"
"7641","Herpes zóster"
"7643","Hierro sérico (aumento)"
"7644","Taquicardia ventricular"
"7653","Hierro sérico (disminución)"
"7663","Ferritina (aumento)"
"7673","Ferritina (disminución)"
"7691","Insuficiencia renal aguda"
"7703","Fibrinogenemia (aumento)"
"7704","Temblor"
"7721","Insuficiencia respiratoria"
"7723","Fibrinolisis (aumento)"
"7731","Hipertensión intraocular"
"7733","Fibroma uterino (aumento)"
"7741","Insuficiencia respiratoria aguda"
"7743","Fibrosis en el punto de inserción"
"7763","Fibrosis cutánea"
"7773","Fibrosis hepática"
"7781","Insuficiencia ventricular izquierda"
"7783","Fibrosis muscular"
"7793","Fibrosis peneana"
"7813","Fibrosis pleural"
"7833","Fibrosis retroperitoneal"
"7843","Fibrosis valvular cardíaca"
"7853","Fibrosis vesical"
"7861","Nefropatía glomerular"
"7873","Fístula esofágica"
"7881","Arritmia"
"7883","Flatulencia"
"7893","Visión borrosa"
"7901","Hemorragia digestiva"
"7913","Flúor sérico (aumento)"
"7923","Fluorosis ósea"
"7941","Retención de sodio"
"7952","Nefroesclerosis"
"7953","Fetopatía"
"7963","Foliculitis"
"7983","Hemograma (anomalía)"
"7991","Psicosis"
"7993","Hormigueo"
"8001","Nefropatía"
"8003","Fractura"
"8021","Oclusión intestinal"
"8023","Fragilidad capilar"
"8033","Fragilidad cutánea"
"8043","Fragilidad de la uña"
"8051","Perforación intestinal"
"8053","Fragilidad ósea"
"8061","Proteinuria"
"8063","Frigidez"
"8071","Prolongación del intervalo QT"
"8073","Escalofrío"
"8083","Folitropina (aumento)"
"8093","Furunculosis"
"8103","Galactorrea"
"8113","GGT (aumento)"
"8123","Inmunoglobulina (aumento)"
"8174","Mastodinia"
"8183","Gastritis erosiva"
"8193","Gastritis hemorrágica"
"8203","Gastroduodenitis"
"8213","Gastroduodenitis hemorrágica"
"8223","Gastroenteritis"
"8233","Molestia gastrointestinal"
"8243","Molestia en el punto de inyección"
"8253","Molestia ocular"
"8263","Molestia faríngea"
"8271","Oligoanuria"
"8273","Molestia respiratoria"
"8283","Molestia visual"
"8311","Tumor benigno de mama"
"8313","Gingivorragia"
"8323","Glándulas salivales (inflamación)"
"8333","Glándulas salivales (tumefacción)"
"8353","Glaucoma agudo (crisis de)"
"8381","Melanoma"
"8403","Glomerulonefritis aguda"
"8423","Glomerulonefritis extramembranosa"
"8433","Glomerulopatía"
"8443","Glositis"
"8453","Lengua pilosa"
"8461","Bloqueo auriculoventricular de segundo grado"
"8493","Glicinemia (aumento)"
"8513","Metabolismo glucídico (perturbación)"
"8523","Glucosuria"
"8533","Glucosuria falsamente positiva"
"8553","Gusto amargo"
"8563","Gusto desagradable"
"8583","Gusto metálico"
"8623","Granuloma inflamatorio"
"8633","Granuloma medular"
"8643","Granuloma pulmonar"
"8663","Granulocitopenia"
"8673","Embarazo extrauterino"
"8693","Embarazo prolongado"
"8703","Ginecomastia"
"8713","Alucinación"
"8723","Alucinación auditiva"
"8741","Disminución del índice de protrombina"
"8753","HDL (disminución)"
"8761","Diabetes"
"8763","Hematémesis"
"8773","Hematocrito (aumento)"
"8783","Hematocrito (disminución)"
"8793","Hematoma"
"8803","Hematoma en el punto de inyección"
"8821","Neumoperitoneo"
"8833","Hematoma epidural"
"8853","Hematoma retroperitoneal"
"8863","Hematoma subcutáneo"
"8873","Hematoma esplénico"
"8883","Hematuria"
"8893","Hemeralopia"
"8903","Hemianopsia"
"8913","Hemiparesia"
"8923","Hemiplejia"
"8933","Hemocromatosis"
"8934","Agitación"
"8943","Hemoglobinemia (disminución)"
"8953","Hemoglobinuria"
"8973","Hemólisis"
"8993","Hemopericardio"
"9003","Hemoperitoneo"
"9013","Hemoptisis"
"9043","Metrorragia de privación"
"9063","Hemorragia digestiva oculta"
"9073","Hemorragia postparto"
"9093","Hemorragia genital"
"9103","Hemorragia hipofisaria"
"9123","Hemorragia intrapulmonar"
"9163","Hemorragia esofágica"
"9173","Hemorragia postoperatoria"
"9183","Hemorragia retiniana"
"9203","Hemorragia retroperitoneal"
"9213","Hemorragia conjuntival"
"9223","Hemorragia suprarrenal"
"9234","Rinitis alérgica"
"9243","Hemorragia urogenital"
"9253","Hemorragia vaginal"
"9263","Hemosiderosis"
"9273","Hemotórax"
"9303","Hepatitis alcohólica"
"9313","Hepatitis alérgica"
"9333","Hepatitis colestásica"
"9353","Hepatitis crónica activa"
"9363","Hepatitis citolítica"
"9373","Hepatitis fulminante"
"9383","Hepatitis granulomatosa"
"9393","Hepatitis grave"
"9403","Hepatitis ictérica"
"9413","Hepatitis mixta"
"9423","Hepatitis pseudoalcohólica"
"9433","Hepatoma"
"9473","Herpes (despertar)"
"9483","Hirsutismo"
"9503","Hipo"
"9523","Horripilación"
"9563","Hidrotórax"
"9582","Ruptura prematura de las membranas"
"9583","Hiperacidez gástrica"
"9593","Hiperactividad"
"9603","Hiperaldosteronismo secundario"
"9643","Hipercinesia"
"9651","Tumor hipofisario"
"9653","Hipercoagulabilidad"
"9661","Colestasis"
"9673","Hiperestesia"
"9683","Hiperexcitabilidad neuromuscular"
"9693","Hiperexcitabilidad ventricular"
"9711","Retención hídrica"
"9713","Hiperemia de la esclerótica"
"9714","Amenorrea"
"9723","Hiperhidrosis"
"9744","Angina"
"9753","Hiperinsulinismo"
"9763","Hiperqueratosis"
"9773","Hiperostosis"
"9793","Hiperfagia"
"9803","Hipertrofia cutánea"
"9823","Hiperplasia de endometrio"
"9833","Hiperplasia gingival"
"9843","Hiperplasia nodular focal hepática"
"9853","Hiperplasia nodular regenerativa hepática"
"9863","Hiperplasia tiroidea"
"9873","Hiperpnea"
"9893","Hiperreflexia osteotendinosa"
"9913","Hipersecreción bronquial (empeoramiento)"
"9932","Estenosis gastrointestinal"
"9933","Hipersecreción gástrica"
"9941","Taquiarritmia"
"9953","Síndrome de DRESS"
"9963","Hipersomnia"
"9964","Aplasia medular"
"9973","Síndrome de hiperestimulación ovárica"
"9983","Hipersudoración"
"10003","Hipertensión arterial paroxística"
"10023","Hipertensión arterial (empeoramiento)"
"10051","Auditivo, trastorno"
"10063","Hipertermia maligna"
"10083","Hipertonía extrapiramidal"
"10093","Hipertonía muscular"
"10123","Hipertricosis"
"10124","Inhibición de la lactancia"
"10141","Infección en el punto de inyección"
"10143","Hipertrofia clitoridiana"
"10153","Hipertrofia ovárica"
"10163","Hipertrofia parotídea"
"10181","Sobrecarga circulatoria"
"10183","Hiperventilación"
"10193","Hiperviscosidad de las secreciones bronquiales"
"10213","Hifema"
"10223","Hipoaldosteronismo"
"10233","Hipocolesterolemia"
"10253","Hipoestesia corneal"
"10263","Hipoestesia cutánea"
"10283","Hipogonadismo"
"10284","Candidiasis cutánea"
