"cim10id","parentid","code","name"
"28436","14132","V63.34"," "
"28437","14736","W22.78"," "
"28438","14014","V51.68"," "
"28439","15516","X06.01"," "
"28440","16391","X87.93"," "
"28441","15761","X29.11"," "
"28442","14035","V53.79"," "
"28443","15095","W58.21"," "
"28444","13899","V40.31"," "
"28445","13780","V28.33"," "
"28446","13682","V16.44"," "
"28447","14810","W29.44"," "
"28448","15140","W65.33"," "
"28450","14677","W17.49"," "
"28451","16711","Y16.79"," "
"28452","16591","Y05.08"," "
"28453","14171","V67.28"," "
"28454","13694","V18.01"," "
"28455","15145","W65.83"," "
"28456","16831","Y27.60"," "
"28457","14275","V77.53"," "
"28458","16877","Y31.80"," "
"28459","14166","V66.79"," "
"28460","15268","W78.84"," "
"28461","13929","V43.20"," "
"28462","15331","W85.51"," "
"28463","15017","W51.13"," "
"28464","16741","Y19.41"," "
"28465","14182","V68.30"," "
"28466","14423","V91.90"," "
"28467","15472","X02.00"," "
"28468","14646","W14.64"," "
"28469","13630","V10.10"," "
"28470","15222","W74.79"," "
"28471","15836","X35.94"," "
"28472","16086","X60.32"," "
"28473","15623","X16.72"," "
"28474","15508","X05.39"," "
"28475","16592","Y05.13"," "
"28476","15042","W53.41"," "
"28477","13797","V30.21"," "
"28478","15508","X05.38"," "
"28479","16030","X53.33"," "
"28480","15357","W87.89"," "
"28481","13796","V30.13"," "
"28482","16839","Y28.38"," "
"28483","15249","W77.08"," "
"28484","14954","W42.52"," "
"28485","14265","V76.50"," "
"28486","13917","V42.03"," "
"28487","16836","Y28.00"," "
"28488","15600","X14.68"," "
"28489","16002","X50.98"," "
"28490","16286","X78.49"," "
"28491","16581","Y04.18"," "
"28492","14307","V80.78"," "
"28493","16434","X91.81"," "
"28494","14430","V92.51"," "
"28495","15058","W54.99"," "
"28496","16845","Y28.99"," "
"28497","16850","Y29.31"," "
"28498","15051","W54.29"," "
"28499","15008","W50.48"," "
"28500","14418","V91.43"," "
"28501","14862","W34.13"," "
"28502","15850","X37.11"," "
"28503","14665","W16.39"," "
"28504","14556","W06.41"," "
"28505","15852","X37.39"," "
"28506","14781","W26.82"," "
"28507","15341","W86.39"," "
"28508","16617","Y08.20"," "
"28510","13958","V46.10"," "
"28511","14442","V93.63","Accidente con maquinaria a bordo de otra embarcación motorizada"
"28512","13731","V22.24"," "
"28514","15577","X12.54"," "
"28515","14072","V57.41"," "
"28516","15776","X30.54"," "
"28517","13679","V16.10"," "
"28518","14143","V64.49"," "
"28519","13900","V40.48"," "
"28520","14868","W34.70"," "
"28521","15891","X40.99"," "
"28522","16265","X76.54"," "
"28523","16258","X75.92"," "
"28524","16033","X53.62"," "
"28525","14956","W42.79"," "
"28526","15379","W89.81"," "
"28527","14956","W42.73"," "
"28528","14527","W03.83"," "
"28529","14696","W19.19"," "
"28530","16421","X90.63"," "
"28531","16406","X89.24"," "
"28532","14144","V64.59"," "
"28533","14829","W31.12"," "
"28534","13799","V30.43"," "
"28535","14687","W18.33"," "
"28536","15872","X39.10"," "
"28537","14050","V55.22"," "
"28538","15487","X03.48"," "
"28539","16000","X50.73"," "
"28540","16881","Y32.10"," "
"28541","15727","X26.08"," "
"28542","15853","X37.41","Maremoto debido a terremoto o erupción volcánica"
"28543","14162","V66.34"," "
"28544","14835","W31.74"," "
"28545","14574","W08.00"," "
"28546","15853","X37.49"," "
"28547","14058","V56.00"," "
"28548","14646","W14.63"," "
"28549","14388","V88.30"," "
"28550","15051","W54.28"," "
"28551","14787","W27.30"," "
"28552","15847","X36.99"," "
"28553","16316","X81.19"," "
"28554","14796","W28.12"," "
"28555","15223","W74.88"," "
"28556","16743","Y19.64"," "
"28557","14127","V62.92"," "
"28558","13897","V40.19"," "
"28559","15377","W89.61"," "
"28560","14833","W31.52"," "
"28561","15871","X39.01","Exposición al radón"
"28562","15500","X04.69"," "
"28563","15383","W90.13"," "
"28564","15498","X04.41"," "
"28565","16848","Y29.10"," "
"28566","16126","X63.94"," "
"28567","14285","V78.50"," "
"28568","15491","X03.89"," "
"28569","14832","W31.43"," "
"28570","15864","X38.48"," "
"28571","13706","V19.48"," "
"28572","16580","Y04.02"," "
"28573","15608","X15.32"," "
"28574","16430","X91.48"," "
"28575","15730","X26.34"," "
"28576","15997","X50.42"," "
"28577","14427","V92.29","Ahogamiento e inmersión al salir despedido por la borda de embarcación no especificado arrastrado por las olas"
"28578","16312","X80.88"," "
"28579","16301","X79.88"," "
"28580","15374","W89.34"," "
"28581","15975","X48.41"," "
"28583","16302","X79.90"," "
"28584","14172","V67.33"," "
"28585","13623","V09.09","Peatón lesionado en accidente no de tráfico con otro vehículo motorizado"
"28586","15590","X13.74"," "
"28587","13838","V34.21"," "
"28588","13838","V34.22"," "
"28589","13831","V33.53"," "
"28590","15971","X48.08"," "
"28591","14797","W28.21"," "
"28592","15033","W52.61"," "
"28593","14320","V81.82","Ocupante de tren o vehículo ferroviario lesionado debido a objeto que cae sobre el tren"
"28594","16323","X81.80"," "
"28596","15178","W68.70"," "
"28597","16152","X66.24"," "
"28598","14991","W45.99"," "
"28599","15779","X30.89"," "
"28600","13888","V39.29","Ocupante no especifiado de vehículo motorizado de tres ruedas lesionado en colisión con otros vehículos motorizados en un accidente no de tráfico"
"28601","14611","W11.43"," "
"28602","16547","Y01.02"," "
"28603","13678","V16.08"," "
"28604","14607","W11.00"," "
"28605","13799","V30.48"," "
"28606","33199","X49.430"," "
"28607","16128","X64.00"," "
"28608","14527","W03.84"," "
"28609","13932","V43.58"," "
"28610","15041","W53.38"," "
"28611","16586","Y04.60"," "
"28612","14543","W05.24"," "
"28613","14544","W05.31"," "
"28614","14034","V53.64"," "
"28615","14403","V90.18","Ahogamiento e inmersión debido a hundimiento de otras embarcaciones acuáticas sin motor"
"28617","15897","X41.32"," "
"28618","14152","V65.33"," "
"28619","15363","W88.34"," "
"28620","14530","W04.02"," "
"28621","16567","Y02.94"," "
"28622","14530","W04.03"," "
"28623","15151","W66.22"," "
"28624","14823","W30.69"," "
"28625","15371","W89.00"," "
"28626","15750","X28.19"," "
"28627","16713","Y16.92"," "
"28628","14699","W19.40"," "
"28629","14965","W43.52"," "
"28630","15158","W66.99"," "
"28631","14700","W19.59"," "
"28632","14842","W32.38"," "
"28633","15868","X38.83"," "
"28634","15152","W66.38"," "
"28635","16291","X78.99"," "
"28636","15998","X50.59"," "
"28637","15118","W60.38"," "
"28638","14332","V82.93"," "
"28639","14886","W36.39"," "
"28640","15536","X08.94"," "
"28641","14114","V61.51"," "
"28642","16354","X84.64"," "
"28643","15321","W84.64"," "
"28644","16489","X96.83"," "
"28645","16493","X97.14"," "
"28646","14347","V84.39"," "
"28647","14644","W14.40"," "
"28648","13757","V25.40"," "
"28649","14578","W08.48"," "
"28650","13663","V14.14"," "
"28651","13877","V38.10"," "
"28652","15549","X10.08"," "
"28653","15075","W56.44"," "
"28654","15294","W81.13"," "
"28655","16500","X97.84"," "
"28656","13672","V15.20"," "
"28657","16255","X75.64"," "
"28658","14261","V76.13"," "
"28659","15765","X29.59"," "
"28660","15511","X05.68"," "
"28661","16032","X53.58"," "
"28662","14738","W22.98"," "
"28663","16404","X89.04"," "
"28664","34352","X49.440"," "
"28665","15364","W88.44"," "
"28666","14038","V54.00"," "
"28667","15630","X17.31"," "
"28668","15242","W76.43"," "
"28669","16427","X91.12"," "
"28670","15611","X15.68"," "
"28671","16422","X90.79"," "
"28672","16000","X50.71"," "
"28673","14839","W32.01"," "
"28674","16828","Y27.34"," "
"28675","15602","X14.83"," "
"28676","15389","W90.70"," "
"28677","16825","Y27.03"," "
"28678","14461","V95.34","Fuego en otra aeronave comercial de ala fija con lesión de ocupante"
"28679","14089","V59.19","Pasajero de camioneta o furgoneta lesionado en colisión con otros vehículos motorizados en un accidente no de tráfico"
"28680","16333","X82.72"," "
"28681","15542","X09.43"," "
"28682","13755","V25.28"," "
"28683","15810","X33.58"," "
"28684","16784","Y23.30"," "
"28685","14456","V94.92"," "
"28686","13999","V50.21"," "
"28687","14233","V73.34"," "
"28688","14811","W29.59"," "
"28689","14264","V76.40"," "
"28690","15489","X03.63"," "
"28691","14531","W04.18"," "
"28693","15291","W80.91"," "
"28694","15919","X43.38"," "
"28695","16374","X86.38"," "
"28696","14506","W01.91"," "
"28697","15275","W79.43"," "
"28698","15072","W56.13"," "
"28699","14129","V63.09"," "
"28700","13668","V14.98"," "
"28701","14242","V74.20"," "
"28702","16150","X66.04"," "
"28703","15521","X06.53"," "
"28704","16669","Y12.92"," "
"28705","14864","W34.38"," "
"28706","14538","W04.81"," "
"28707","15093","W58.09","Otro contacto con caimán"
"28708","15624","X16.81"," "
"28709","16137","X64.93"," "
"28710","15773","X30.24"," "
"28711","15188","W69.60"," "
"28712","15133","W64.71"," "
"28714","14824","W30.74"," "
"28715","16843","Y28.71"," "
"28716","14400","V89.99"," "
"28717","14290","V79.02"," "
"28718","13789","V29.42"," "
"28719","16278","X77.79"," "
"28720","16283","X78.12"," "
"28721","14956","W42.71"," "
"28722","16121","X63.40"," "
"28723","15064","W55.41","Mordido por cerdo"
"28724","16583","Y04.38"," "
"28725","15606","X15.18"," "
"28726","15869","X38.99"," "
"28727","15884","X40.29"," "
"28728","15268","W78.83"," "
"28729","16581","Y04.10"," "
"28730","15261","W78.13"," "
"28731","16118","X63.12"," "
"28732","14404","V90.22","Ahogamiento e inmersión debido a caída o salto por fuego en barco de pesca"
"28733","14523","W03.44"," "
"28734","14180","V68.13"," "
"28735","15338","W86.08"," "
"28736","14295","V79.59","Pasajero de autobús lesionado en colisión con otros vehículos motorizados en accidentes de tráfico"
"28737","14903","W37.91"," "
"28738","16440","X92.39"," "
"28739","16100","X61.52"," "
"28740","16741","Y19.48"," "
"28742","15854","X37.50"," "
"28743","13630","V10.12"," "
"28744","16863","Y30.50"," "
"28745","16756","Y20.88"," "
"28746","14567","W07.41"," "
"28747","16299","X79.68"," "
"28748","14561","W06.92"," "
"28749","14179","V68.08"," "
"28750","15028","W52.12"," "
"28751","15474","X02.29"," "
"28752","15850","X37.14"," "
"28753","13833","V33.72"," "
"28754","15841","X36.30"," "
"28755","13952","V45.58"," "
"28756","14549","W05.84"," "
"28757","15580","X12.84"," "
"28758","28759","X49.311"," "
"28759","15985","X49.31"," "
"28760","14196","V69.89"," "
"28761","13968","V47.11","Pasajero de vehículo utilitario deportivo lesionado por colisión con objeto fijo o estacionado en un accidente no de tráfico"
"28763","13743","V23.91"," "
"28764","15941","X45.38"," "
"28765","14582","W08.88"," "
"28766","16624","Y08.99"," "
"28767","15683","X22.00"," "
"28768","14112","V61.33"," "
"28769","14212","V71.20"," "
"28770","16888","Y32.83"," "
"28771","15940","X45.20"," "
"28772","15068","W55.89","Otro contacto con otros mamíferos"
"28773","16232","X73.50"," "
"28774","14230","V73.00"," "
"28775","15415","W93.09"," "
"28776","15291","W80.94"," "
"28777","16559","Y02.14"," "
"28778","15531","X08.48"," "
"28779","13772","V27.30"," "
"28780","13873","V37.72"," "
"28781","16766","Y21.78"," "
"28782","14770","W25.81"," "
"28783","14899","W37.59"," "
"28784","13674","V15.40"," "
"28785","16810","Y25.73"," "
"28786","16804","Y25.10"," "
"28787","14607","W11.08"," "
"28788","13615","V05.03"," "
"28789","16803","Y25.02"," "
"28790","14015","V51.71"," "
"28791","15198","W70.51"," "
"28792","16674","Y13.33"," "
"28793","15196","W70.34"," "
"28794","16521","X99.72"," "
"28795","15758","X28.94"," "
"28796","13775","V27.93"," "
"28797","14538","W04.84"," "
"28798","15428","W94.20"," "
"28799","16541","Y00.59"," "
"28800","14372","V86.91","Ocupante no especificado de ambulancia o camión de bomberos lesionado en accidente no de tráfico"
"28801","14376","V87.24"," "
"28802","16142","X65.32"," "
"28803","15427","W94.13"," "
"28804","15902","X41.84"," "
"28805","15422","W93.79"," "
"28806","13615","V05.08"," "
"28807","15518","X06.22"," "
"28808","16034","X53.72"," "
"28809","16519","X99.50"," "
"28810","15094","W58.12","Golpeado por cocodrilo"
"28811","15899","X41.50"," "
"28812","15242","W76.42"," "
"28813","15426","W94.09"," "
"28814","15773","X30.20"," "
"28815","16522","X99.89"," "
"28816","15364","W88.42"," "
"28817","14151","V65.28"," "
"28818","14822","W30.54"," "
"28819","14388","V88.32"," "
"28820","13801","V30.69"," "
"28821","16667","Y12.70"," "
"28822","15374","W89.38"," "
"28823","16420","X90.54"," "
"28824","16112","X62.61"," "
"28825","13817","V32.19"," "
"28826","16699","Y15.68"," "
"28827","15218","W74.30"," "
"28828","14822","W30.58"," "
"28829","16406","X89.23"," "
"28830","16440","X92.38"," "
"28831","15975","X48.44"," "
"28832","14565","W07.28"," "
"28833","14930","W40.34"," "
"28834","13838","V34.29"," "
"28835","15127","W64.19"," "
"28836","16196","X70.20"," "
"28837","15226","W75.03"," "
"28838","13858","V36.29"," "
"28839","14640","W14.04"," "
"28840","15689","X22.64"," "
"28841","15433","W94.71"," "
"28842","14111","V61.24"," "
"28843","16639","Y10.29"," "
"28844","16627","Y09.11"," "
"28845","13990","V49.30"," "
"28846","14888","W36.58"," "
"28847","15541","X09.31"," "
"28848","14898","W37.41"," "
"28849","16898","Y33.71"," "
"28850","16278","X77.71"," "
"28851","16682","Y14.01"," "
"28852","14845","W32.69"," "
"28853","15409","W92.52"," "
"28854","15653","X19.43"," "
"28855","16499","X97.79"," "
"28856","13876","V38.03"," "
"28857","16245","X74.70"," "
"28858","14356","V85.29"," "
"28859","16790","Y23.93"," "
"28860","14867","W34.61"," "
"28861","15094","W58.13","Aplastado por cocodrilo"
"28862","15762","X29.29"," "
"28863","14033","V53.53"," "
"28864","16135","X64.71"," "
"28865","15900","X41.68"," "
"28866","15134","W64.82"," "
"28867","13608","V03.14"," "
"28868","15885","X40.31"," "
"28869","16415","X90.02"," "
"28870","16278","X77.74"," "
"28871","16836","Y28.01"," "
"28872","16831","Y27.69"," "
"28873","13807","V31.10"," "
"28874","13698","V18.44"," "
"28875","16751","Y20.33"," "
"28876","14671","W16.93"," "
"28877","15796","X32.23"," "
"28878","15501","X04.71"," "
"28879","15049","W54.08"," "
"28880","16848","Y29.12"," "
"28881","16859","Y30.14"," "
"28882","16859","Y30.13"," "
"28883","14681","W17.80"," "
"28884","14388","V88.39"," "
"28885","16278","X77.73"," "
"28886","14256","V75.64"," "
"28888","15064","W55.48"," "
"28889","13707","V19.52"," "
"28890","16424","X90.99"," "
"28891","15741","X27.39"," "
"28892","16008","X51.30"," "
"28893","14156","V65.70"," "
"28894","15385","W90.38"," "
"28895","15331","W85.53"," "
"28896","15853","X37.40"," "
"28897","16742","Y19.52"," "
"28898","15878","X39.74"," "
"28899","13824","V32.92"," "
"28900","16884","Y32.41"," "
"28901","16729","Y18.33"," "
"28902","14556","W06.42"," "
"28903","16326","X82.08"," "
"28904","14440","V93.42","Golpeado por caída de objeto en barco de pesca"
"28905","15345","W86.72"," "
"28906","15228","W75.23"," "
"28907","15709","X24.40"," "
"28908","16095","X61.04"," "
"28909","13954","V45.78"," "
"28910","16461","X94.20"," "
"28911","13724","V21.38"," "
"28912","16087","X60.44"," "
"28913","14922","W39.60"," "
"28914","14440","V93.49","Golpeado por caída de objeto en otra embarcación no especificada"
"28915","15240","W76.28"," "
"28916","16067","X58.72"," "
"28917","13627","V09.90"," "
"28918","16801","Y24.99"," "
"28919","13882","V38.68"," "
"28920","15177","W68.68"," "
"28921","15069","W55.93"," "
"28922","13991","V49.43"," "
"28923","14471","V96.93"," "
"28924","15644","X18.69"," "
"28925","14864","W34.39"," "
"28926","15765","X29.58"," "
"28927","16386","X87.48"," "
"28928","14497","W01.03"," "
"28929","15636","X17.98"," "
"28930","14744","W23.44"," "
"28931","14403","V90.11","Ahogamiento e inmersión debido a hundimiento de barco de pasajeros"
"28932","15757","X28.83"," "
"28933","15357","W87.84"," "
"28934","14679","W17.64"," "
"28935","14678","W17.51"," "
"28936","15900","X41.63"," "
"28937","16550","Y01.38"," "
"28938","13785","V29.01"," "
"28939","16266","X76.68"," "
"28940","15896","X41.20"," "
"28941","15134","W64.81"," "
"28942","15153","W66.49"," "
"28943","15745","X27.73"," "
"28944","14707","W20.19"," "
"28945","16120","X63.34"," "
"28946","15256","W77.70"," "
"28947","16713","Y16.91"," "
"28948","14411","V90.92"," "
"28949","16828","Y27.33"," "
"28950","16432","X91.61"," "
"28951","15617","X16.12"," "
"28952","16748","Y20.03"," "
"28953","16881","Y32.13"," "
"28954","13814","V31.99"," "
"28955","14068","V57.08"," "
"28956","14649","W14.99"," "
"28957","16334","X82.83"," "
"28958","14231","V73.19"," "
"28959","15121","W60.68"," "
"28960","15547","X09.98"," "
"28961","14881","W35.93"," "
"28962","16065","X58.51"," "
"28963","14586","W09.12"," "
"28964","15112","W59.84"," "
"28965","14341","V83.71"," "
"28966","14995","W49.20"," "
"28967","16821","Y26.78"," "
"28968","16580","Y04.08"," "
"28969","15871","X39.08","Exposición a otra radiación natural"
"28970","14690","W18.60"," "
"28971","15495","X04.14"," "
"28972","14026","V52.99"," "
"28973","13611","V04.00","Peatón a pie lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico"
"28974","15083","W57.12"," "
"28975","14721","W21.30"," "
"28976","14366","V86.23","Persona en exterior de buggy de dunas lesionada en accidente de tráfico"
"28977","15786","X31.31"," "
"28978","13881","V38.58"," "
"28979","16245","X74.78"," "
"28980","15076","W56.58"," "
"28981","15928","X44.10"," "
"28982","14129","V63.08"," "
"28983","13993","V49.61"," "
"28984","13884","V38.98"," "
"28985","16380","X86.99"," "
"28986","16664","Y12.43"," "
"28987","14497","W01.04"," "
"28988","16033","X53.64"," "
"28989","14820","W30.39"," "
"28990","18142","W46.62"," "
"28991","15628","X17.14"," "
"28992","16523","X99.91"," "
"28993","15036","W52.98"," "
"28994","13620","V06.19","Peatón en otro medio de transporte lesionado en colisión con otro vehículo no motorizado en un accidente de tráfico"
"28995","15567","X11.64"," "
"28996","14454","V94.70"," "
"28997","15450","X00.11"," "
"28998","14461","V95.31","Impacto de otra aeronave comercial de ala fija con lesión de ocupante"
"28999","16652","Y11.39"," "
"29000","14756","W24.51"," "
"29001","15545","X09.71"," "
"29002","16655","Y11.60"," "
"29003","14587","W09.23"," "
"29004","14644","W14.49"," "
"29005","16494","X97.23"," "
"29006","14770","W25.83"," "
"29007","16561","Y02.30"," "
"29008","16672","Y13.12"," "
"29009","15371","W89.09"," "
"29010","14031","V53.30"," "
"29011","16276","X77.59"," "
"29012","14095","V59.81","Ocupante (conductor) (pasajero) de camioneta o furgoneta lesionado en accidente de transporte con vehículo militar"
"29014","16554","Y01.70"," "
"29015","15657","X19.80"," "
"29016","14847","W32.80"," "
"29017","15645","X18.70"," "
"29018","13668","V14.94"," "
"29019","16515","X99.18"," "
"29020","16658","Y11.91"," "
"29021","16036","X53.90"," "
"29022","14028","V53.08"," "
"29023","15522","X06.69"," "
"29024","14863","W34.23"," "
"29025","14371","V86.72","Persona en exterior de moto de nieve lesionada en accidente no de tráfico"
"29026","14272","V77.28"," "
"29027","15146","W65.94"," "
"29028","15736","X26.98"," "
"29029","15505","X05.01"," "
"29030","15369","W88.90"," "
"29031","13695","V18.10"," "
"29032","16014","X51.94"," "
"29033","15052","W54.31"," "
"29034","15047","W53.99"," "
"29035","13716","V20.40"," "
"29036","16424","X90.92"," "
"29037","16117","X63.02"," "
"29038","14385","V88.09"," "
"29039","15757","X28.84"," "
"29040","13682","V16.42"," "
"29041","14686","W18.22"," "
"29042","15144","W65.72"," "
"29043","14684","W18.09","Golpe contra otro objeto con caída posterior"
"29045","14802","W28.74"," "
"29046","14039","V54.19"," "
"29048","14135","V63.64"," "
"29049","14612","W11.53"," "
"29050","15045","W53.70"," "
"29051","13791","V29.63"," "
"29052","16849","Y29.24"," "
"29053","15618","X16.21"," "
"29054","15796","X32.21"," "
"29055","16242","X74.41"," "
"29056","16013","X51.88"," "
"29057","15621","X16.52"," "
"29058","14830","W31.29"," "
"29059","14036","V53.99"," "
"29060","15271","W79.09"," "
"29061","16702","Y15.92"," "
"29062","14842","W32.30"," "
"29063","16294","X79.19"," "
"29064","13793","V29.99"," "
"29065","16615","Y08.08"," "
"29066","15728","X26.11"," "
"29067","15217","W74.21"," "
"29069","15477","X02.51"," "
"29070","14964","W43.42"," "
"29071","15272","W79.19"," "
"29072","14999","W49.62"," "
"29073","15476","X02.49"," "
"29074","15265","W78.53"," "
"29075","15587","X13.48"," "
"29076","16098","X61.31"," "
"29077","14421","V91.78"," "
"29078","15483","X03.02"," "
"29079","15594","X14.08"," "
"29080","16445","X92.83"," "
"29081","13888","V39.20","Ocupante no especifiado de vehículo motorizado de tres ruedas lesionado en colisión con vehículos motorizados no especificados en un accidente no de tráfico"
"29082","15139","W65.29"," "
"29083","16841","Y28.51"," "
"29084","16265","X76.53"," "
"29085","13619","V06.03"," "
"29086","14258","V75.90"," "
"29087","14051","V55.32"," "
"29088","16284","X78.24"," "
"29089","16119","X63.29"," "
"29090","14533","W04.39"," "
"29091","15879","X39.84"," "
"29092","14824","W30.79"," "
"29093","16273","X77.22"," "
"29094","15498","X04.40"," "
"29095","14511","W02.38"," "
"29096","15072","W56.18"," "
"29097","14534","W04.44"," "
"29098","15621","X16.51"," "
"29099","16123","X63.64"," "
"29100","14815","W29.92"," "
"29101","15496","X04.20"," "
"29102","13809","V31.31"," "
"29103","14906","W38.10"," "
"29104","14971","W44.09"," "
"29105","16296","X79.33"," "
"29106","15739","X27.11"," "
"29107","15995","X50.24"," "
"29108","15855","X37.64"," "
"29109","16102","X61.78"," "
"29110","16318","X81.34"," "
"29111","15466","X01.59"," "
"29112","15025","W51.94"," "
"29113","14660","W15.91"," "
"29114","13633","V10.43"," "
"29115","14787","W27.38"," "
"29116","15219","W74.44"," "
"29117","14055","V55.73"," "
"29118","13623","V09.03"," "
"29119","14202","V70.33"," "
"29120","14408","V90.69"," "
"29121","14290","V79.03"," "
"29122","14270","V77.09"," "
"29123","15047","W53.98"," "
"29124","15275","W79.40"," "
"29125","16242","X74.44"," "
"29126","16113","X62.78"," "
"29127","15063","W55.34"," "
"29128","14710","W20.49"," "
"29129","15608","X15.31"," "
"29130","15980","X48.90"," "
"29131","16741","Y19.43"," "
"29132","14430","V92.58"," "
"29133","15332","W85.64"," "
"29134","16876","Y31.73"," "
"29135","15714","X24.94"," "
"29136","14388","V88.31"," "
"29137","16754","Y20.61"," "
"29138","13828","V33.28"," "
"29139","16098","X61.33"," "
"29140","14786","W27.24"," "
"29142","15840","X36.29"," "
"29143","16861","Y30.38"," "
"29144","15583","X13.08"," "
"29145","16453","X93.51"," "
"29146","16313","X80.93"," "
"29147","16448","X93.09"," "
"29148","15975","X48.43"," "
"29149","14663","W16.14"," "
"29150","14324","V82.12"," "
"29151","16737","Y19.08"," "
"29152","14792","W27.88"," "
"29153","16463","X94.48"," "
"29154","14798","W28.38"," "
"29155","16199","X70.51"," "
"29156","13846","V35.03"," "
"29157","15038","W53.09","Otro contacto con ratón"
"29158","15344","W86.63"," "
"29159","15794","X32.09"," "
"29160","15645","X18.71"," "
"29161","14734","W22.51"," "
"29162","14372","V86.98"," "
"29163","15517","X06.14"," "
"29164","14603","W10.78"," "
"29165","15914","X42.94"," "
"29166","15787","X31.49"," "
"29167","16246","X74.81"," "
"29168","16669","Y12.98"," "
"29169","14987","W45.51"," "
"29170","14987","W45.50"," "
"29171","14604","W10.81"," "
"29172","14023","V52.52"," "
"29173","16789","Y23.88"," "
"29174","14247","V74.73"," "
